mode,model,accuracy,auc,model_mb,ms_per_window_batch1,ms_per_window_batch8000,scorer,n_features,threads
mobile,Stacking_Ensemble,0.92975,0.97294175,623.2685441970825,104.2627680581063,0.2609898227528902,predict_proba,32,1
mobile,LGBM_balanced,0.929,0.97282521875,5.97222900390625,1.0572259780019522,0.059970874499413185,predict_proba,32,1
mobile,LGBM_deep,0.9265,0.97037759375,9.706207275390625,0.9787509916350245,0.06516534824913833,predict_proba,32,1
mobile,CatBoost_deep,0.918875,0.964478,6.357623100280762,0.9248160058632493,0.0017356037569697946,predict_proba,32,1
mobile,CatBoost_balanced,0.9185,0.96086846875,2.063174247741699,0.9482599562034011,0.0010300450085196644,predict_proba,32,1
mobile,XGB_balanced,0.91625,0.9605825937500002,2.9110870361328125,1.8202969804406166,0.011737002991139889,predict_proba,32,1
mobile,XGB_conservative,0.914875,0.96053940625,2.1618499755859375,1.991542987525463,0.008306164512760006,predict_proba,32,1
mobile,GradientBoosting,0.909375,0.95367071875,3.716768264770508,1.10903091263026,0.01031145587330684,predict_proba,32,1
mobile,SVM_rbf,0.9085,0.94144371875,1.9523639678955078,1.1560189304873347,0.2041650794999441,predict_proba,32,1
mobile,AdaBoost,0.906125,0.95283425,0.9052600860595703,11.968564009293914,0.010481787991011515,predict_proba,32,1
mobile,Bagging_RF,0.901375,0.94902478125,9.904634475708008,40.071916999295354,0.013460761256283149,predict_proba,32,1
mobile,RandomForest,0.898625,0.945436375,89.51371955871582,33.53176102973521,0.03446019851253368,predict_proba,32,1
mobile,ExtraTrees,0.881375,0.93802559375,179.26912117004395,33.278957940638065,0.03980458375008311,predict_proba,32,1
mobile,LogisticRegression,0.8805,0.91759990625,0.0041675567626953125,0.8198140421882272,0.00014840162475593388,predict_proba,32,1
mobile,Ridge,0.879125,0.916939,0.0041980743408203125,0.8595440303906798,0.00014167037443257868,predict_proba,32,1
mobile,SVM_linear,0.878375,0.91708671875,0.011201858520507812,3.0252120923250914,0.0004697632393799722,predict_proba,32,1
mobile,Bagging_ET,0.861875,0.92126565625,25.57316780090332,108.06079604662955,0.042223543365253136,predict_proba,32,1
