config,n_kept,removed,tgt_acc_mean,tgt_acc_std,tgt_auc_mean,tgt_auc_std,delta_acc,delta_acc_std,p_acc,d_paired_acc,delta_auc,delta_auc_std,p_auc,d_paired_auc
DJ_minus2_Avg_only,31,"AverageEndToEndDelay, AverageJitter",0.6981206293706295,0.022462579049541576,0.8453134288912885,0.006995201745273703,0.028399100899100905,0.018270983662886178,1.2644927139648248e-06,1.554327967398272,0.00960512720296689,0.005403424564386017,1.8404242883448457e-07,1.777599943982619
DJ_minus2_Flow_extremes,31,"FlowDelayStd, FlowJitterStd",0.6844230769230769,0.010640178606326281,0.8140822870311506,0.00836677660813057,0.014701548451548457,0.012146371530162845,3.1878403121286286e-05,1.210365450706031,-0.021626014657170973,0.005458507157288826,2.845461644359412e-13,-3.9618917835975416
DJ_minus4_Flow_only,29,"AvgFlowDelay, AvgFlowJitter, FlowDelayStd, FlowJitterStd",0.7658266733266733,0.01899977401870901,0.8553930477614294,0.009064130591080808,0.09610514485514486,0.016840610254898258,3.637896985236991e-16,5.7067495417627,0.019684746073107738,0.007850092873211688,8.06022935319932e-10,2.5075812975769507
DJ_minus6_all,27,"AverageEndToEndDelay, AverageJitter, AvgFlowDelay, AvgFlowJitter, FlowDelayStd, FlowJitterStd",0.7967732267732267,0.010109506021312343,0.8643414764556123,0.0066897985975904305,0.12705169830169827,0.015017120108876654,2.3601235512410114e-19,8.460456957163027,0.02863317476729068,0.0067524828825678476,8.359623402196445e-14,4.240392055077969
LOO_AvgE2EDelay,32,AverageEndToEndDelay,0.6883204295704296,0.02240734157617054,0.8424984761118003,0.008190441686668633,0.018598901098901093,0.015864010086259414,4.6323863099904206e-05,1.1723959451469652,0.00679017442347864,0.005558156950959599,2.854148969183798e-05,1.2216593528015318
LOO_AvgFlowDelay,32,AvgFlowDelay,0.6673451548451548,0.011459784297730742,0.832719527974523,0.00941235923818819,-0.0023763736263736402,0.00807029699424137,0.20354806871674536,-0.2944592532430123,-0.002988773713798665,0.004840346057916939,0.01242349913760007,-0.6174710812071348
LOO_AvgFlowJit,32,AvgFlowJitter,0.6760352147852148,0.023969792383550063,0.8395684605105185,0.010036214571780106,0.0063136863136862955,0.01777747359309085,0.1287245202783296,0.35515093191532493,0.0038601588221968243,0.00679142353044101,0.019897624739481014,0.5683872909552086
LOO_AvgJitter,32,AverageJitter,0.6728321678321678,0.014613620614661477,0.8372435636915532,0.008283471289741351,0.0031106393606393557,0.012984473463723355,0.29742322877432065,0.23956607630875518,0.001535262003231569,0.006058031019860417,0.2711642533159831,0.2534259065690527
LOO_FlowDelayStd,32,FlowDelayStd,0.6795067432567433,0.018817582430855302,0.836988317439304,0.009200961829039726,0.009785214785214791,0.014544090984569673,0.00721902504879052,0.6727965876723586,0.0012800157509822996,0.007034289802440152,0.42584939001415634,0.18196801481483887
LOO_FlowJitterStd,32,FlowJitterStd,0.6764985014985015,0.01385523904701901,0.8074237281200318,0.012075634840107714,0.006776973026973015,0.011251817418736257,0.014387443582562416,0.6023003017884171,-0.028284573568289822,0.007957183014594535,1.973837569610403e-12,-3.554596333452698
Random_minus6_seed1001,27,"AvgRxBytesPerFlow, AvgTxPacketSize, FlowLossRateStd, HnaMessageRate, MidMessageRate, RxTxPacketRatio",0.6741083916083916,0.019493132840319238,0.8347554984351314,0.009365903462724052,0.004386863136863134,0.013683565186123885,0.16789973757542878,0.32059357902659225,-0.0009528032531903319,0.00483211211984919,0.3888926751538784,-0.19718152839964914
Random_minus6_seed2002,27,"AvgFlowThroughput, AvgRxPacketsPerFlow, HnaMessageRate, MidMessageRate, RxTxPacketRatio, TcMessageRate",0.6718906093906094,0.016820388757716204,0.8356897978395231,0.006772292585404038,0.0021690809190809124,0.012740526018901641,0.4557751583540459,0.17025049953690283,-1.850384879854561e-05,0.0066920945473983775,0.990262854930458,-0.002765030988054282
Random_minus6_seed3003,27,"AvgFlowLossRate, AvgRxBytesPerFlow, FlowCount, PacketLossRatio, RxTxPacketRatio, Throughput",0.6735864135864136,0.013044601877444445,0.8345261386340932,0.00820569923583762,0.003864885114885108,0.014067384756549577,0.23419421169621604,0.27474084072987853,-0.001182163054228469,0.005935343533910829,0.3842143373438296,-0.199173484647406
Random_minus6_seed4004,27,"AverageHopCount, AvgRxBytesPerFlow, AvgTxPacketSize, HnaMessageRate, RoutingOverheadRatio, TcMessageRate",0.6529133366633367,0.014735931482053407,0.824431302089519,0.00799306958037189,-0.016808191808191812,0.009790944124977588,3.071981673421075e-07,-1.7167079694911738,-0.011276999598802757,0.006828736728723882,5.380651962227603e-07,-1.6514034801441442
Standard_33,33,(none),0.6697215284715285,0.015094553538344085,0.8357083016883216,0.008021695742855424,,,,,,,,
Top6_dShift_nonDJ,27,"AvgFlowThroughput, AvgTxPacketsPerFlow, FlowCount, FlowThroughputStd, NormalizedRoutingLoad, TcMessageRate",0.6304707792207792,0.007638651621067434,0.8814975041816325,0.005855089454582471,-0.039250749250749256,0.014266881899844427,1.696888903111684e-10,-2.7511792363808145,0.04578920249331092,0.006292782874737959,3.970633927978801e-18,7.276463117316383
Top6_dShift_nonDJ_nonU4,27,"AvgFlowThroughput, AvgRxPacketsPerFlow, AvgTxPacketsPerFlow, FlowCount, NormalizedRoutingLoad, TcMessageRate",0.6664435564435565,0.014900581484582136,0.8310186915981121,0.008568614601745286,-0.0032779720279720315,0.013396776784143777,0.28752061563385656,-0.24468363404037527,-0.004689610090209467,0.0056179518684500405,0.001409155187418331,-0.8347544087278381
