config,n_kept,removed,seed,te_acc,te_auc,tgt_acc,tgt_auc,thr
Standard_33,33,(none),42,0.9097152847152847,0.9604322375925772,0.8403846153846154,0.8950729415439704,0.5099999999999998
Standard_33,33,(none),43,0.9145854145854145,0.9636229779211798,0.8368381618381618,0.8907225516741001,0.5899999999999997
Standard_33,33,(none),44,0.9127122877122877,0.9608464712111067,0.8397852147852148,0.8921496136231402,0.5499999999999998
Standard_33,33,(none),45,0.9207042957042957,0.9659742106045803,0.8472527472527472,0.8971138476907707,0.4999999999999998
Standard_33,33,(none),46,0.9102147852147852,0.9602762372492641,0.8382367632367632,0.8937789383443728,0.5599999999999997
Standard_33,33,(none),47,0.9127122877122877,0.9598741667922487,0.8413086913086913,0.8933629133104657,0.5599999999999997
Standard_33,33,(none),48,0.9149600399600399,0.9633191483840833,0.8454295704295705,0.886325727219833,0.48999999999999977
Standard_33,33,(none),49,0.9077172827172827,0.9613649337675312,0.8378871128871129,0.8933753035176611,0.5699999999999997
Standard_33,33,(none),50,0.9135864135864136,0.9618552027393186,0.8446303696303696,0.8968646313726234,0.5099999999999998
Standard_33,33,(none),51,0.9114635364635365,0.9622322607462468,0.8364635364635364,0.8881065962010017,0.5199999999999998
Standard_33,33,(none),52,0.9065934065934066,0.9583671198930938,0.8466033966033966,0.9009440060439062,0.5099999999999998
Standard_33,33,(none),53,0.9092157842157842,0.9600556162119599,0.840034965034965,0.8912601983431154,0.5099999999999998
Standard_33,33,(none),54,0.912962037962038,0.9623835829505158,0.8461788211788212,0.9000360229181409,0.5599999999999997
Standard_33,33,(none),55,0.9147102897102897,0.9639261837064034,0.8403346653346654,0.8919097336230204,0.5099999999999998
Standard_33,33,(none),56,0.9088411588411588,0.962109444002551,0.8468531468531468,0.895948272506714,0.4999999999999998
Standard_33,33,(none),57,0.9103396603396603,0.9627819108962966,0.8421578421578422,0.8925049201547703,0.4999999999999998
Standard_33,33,(none),58,0.9114635364635365,0.9612975061901137,0.8455794205794206,0.8963700335628408,0.5599999999999997
Standard_33,33,(none),59,0.9068431568431569,0.9564207021749478,0.8478521478521478,0.8916148237377007,0.4999999999999998
Standard_33,33,(none),60,0.9120879120879121,0.963066653626094,0.8428821178821179,0.8929385574465494,0.48999999999999977
Standard_33,33,(none),61,0.9158341658341659,0.9642113006873247,0.8412337662337662,0.8924804516163158,0.5399999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,42,0.9105894105894106,0.9604979186647519,0.8374875124875125,0.8935276836051063,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,43,0.9122127872127872,0.9636152433979607,0.8401098901098901,0.8909943253549648,0.4999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,44,0.910964035964036,0.960693090625658,0.8446053946053946,0.8940389056497947,0.4299999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,45,0.9184565434565435,0.9659777036150661,0.848976023976024,0.8986760317604472,0.5099999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,46,0.9094655344655345,0.9597703744806642,0.834015984015984,0.8922520286905902,0.5999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,47,0.9127122877122877,0.9600448253045655,0.8456293706293706,0.8954549222006765,0.5299999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,48,0.9134615384615384,0.9631033926113846,0.8443806193806194,0.8900676471380767,0.5199999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,49,0.9104645354645354,0.9606901589918573,0.8405344655344655,0.8942864128878114,0.5299999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,50,0.9118381618381618,0.9616545417619344,0.845054945054945,0.8959055005933129,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,51,0.9113386613386614,0.9618257616509365,0.8405094905094905,0.8895666346640374,0.47999999999999976
LOO_AvgE2EDelay,32,AverageEndToEndDelay,52,0.9057192807192808,0.9582303934826413,0.8471278721278721,0.9014296866969195,0.4999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,53,0.9110889110889111,0.959985132250367,0.8432317682317683,0.8919204421951674,0.47999999999999976
LOO_AvgE2EDelay,32,AverageEndToEndDelay,54,0.9112137862137862,0.9617509114262361,0.846053946053946,0.8989529476517488,0.5399999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,55,0.9138361638361638,0.9639632345676302,0.8411588411588412,0.8899924800474251,0.4999999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,56,0.9089660339660339,0.9614241901954189,0.8465784215784216,0.8972916519045391,0.5099999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,57,0.9094655344655345,0.9618759736766731,0.8411338661338661,0.8968683115086711,0.5699999999999997
LOO_AvgE2EDelay,32,AverageEndToEndDelay,58,0.9112137862137862,0.9609041682593131,0.8455544455544456,0.8966339579501418,0.5499999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,59,0.9072177822177823,0.9560986590831746,0.8497002997002997,0.8933129507854783,0.47999999999999976
LOO_AvgE2EDelay,32,AverageEndToEndDelay,60,0.9133366633366633,0.9627439244072611,0.842107892107892,0.8949048928094883,0.5199999999999998
LOO_AvgE2EDelay,32,AverageEndToEndDelay,61,0.9158341658341659,0.9637564608218954,0.8421828171828172,0.8917653674996332,0.5099999999999998
LOO_AvgJitter,32,AverageJitter,42,0.9105894105894106,0.960732698869562,0.8426323676323676,0.8948658708923445,0.48999999999999977
LOO_AvgJitter,32,AverageJitter,43,0.9150849150849151,0.9638990504999497,0.8383116883116883,0.8905380234151463,0.5799999999999997
LOO_AvgJitter,32,AverageJitter,44,0.9110889110889111,0.9609584346722209,0.8355894105894106,0.8914859541058341,0.5999999999999998
LOO_AvgJitter,32,AverageJitter,45,0.9185814185814186,0.9656837293575555,0.8458541458541459,0.8973025525922629,0.5699999999999997
LOO_AvgJitter,32,AverageJitter,46,0.9097152847152847,0.9603229562645148,0.8371378621378621,0.8940470044441072,0.5699999999999997
LOO_AvgJitter,32,AverageJitter,47,0.9124625374625375,0.9604271228272226,0.8436563436563437,0.8934300913871344,0.5199999999999998
LOO_AvgJitter,32,AverageJitter,48,0.9137112887112887,0.9632536544374706,0.8454295704295705,0.8884807300591516,0.48999999999999977
LOO_AvgJitter,32,AverageJitter,49,0.9113386613386614,0.9609181403012572,0.8415584415584415,0.8946649554241963,0.5099999999999998
LOO_AvgJitter,32,AverageJitter,50,0.9112137862137862,0.9619019841297564,0.8432817182817183,0.8971181141535787,0.5599999999999997
LOO_AvgJitter,32,AverageJitter,51,0.9113386613386614,0.9622341943770514,0.8350899100899101,0.8886894923258559,0.5599999999999997
LOO_AvgJitter,32,AverageJitter,52,0.9043456543456544,0.9581698271758212,0.8479770229770229,0.898862845446262,0.46999999999999986
LOO_AvgJitter,32,AverageJitter,53,0.9098401598401599,0.9603346204245304,0.8395104895104896,0.8918418419742096,0.48999999999999977
LOO_AvgJitter,32,AverageJitter,54,0.9113386613386614,0.9621138726408457,0.8458041958041959,0.8993688304702291,0.5499999999999998
LOO_AvgJitter,32,AverageJitter,55,0.9133366633366633,0.9638631223920935,0.8424325674325674,0.890924809456278,0.48999999999999977
LOO_AvgJitter,32,AverageJitter,56,0.9093406593406593,0.9619371013601783,0.8475524475524475,0.8973652970406218,0.46999999999999986
LOO_AvgJitter,32,AverageJitter,57,0.9089660339660339,0.9624221308162366,0.8402347652347653,0.8946680242834089,0.5499999999999998
LOO_AvgJitter,32,AverageJitter,58,0.9102147852147852,0.9609840084989933,0.843956043956044,0.8959388887835441,0.5699999999999997
LOO_AvgJitter,32,AverageJitter,59,0.9038461538461539,0.9561686440432694,0.8492507492507493,0.8944479122276325,0.44999999999999984
LOO_AvgJitter,32,AverageJitter,60,0.9105894105894106,0.9631102538819821,0.8407092907092907,0.8923556064315303,0.5299999999999998
LOO_AvgJitter,32,AverageJitter,61,0.9145854145854145,0.9643008714562162,0.8418581418581419,0.8932591933540985,0.5199999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,42,0.9093406593406593,0.9605006631729909,0.8437062937062937,0.894319242196365,0.47999999999999976
LOO_AvgFlowDelay,32,AvgFlowDelay,43,0.9127122877122877,0.9636416904773548,0.8406343656343657,0.892214476332858,0.5199999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,44,0.9114635364635365,0.9608606303786124,0.8392107892107892,0.8902509902684728,0.5499999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,45,0.9202047952047953,0.9659294252201345,0.8453546453546453,0.8968655370603423,0.5299999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,46,0.9090909090909091,0.9600794435334894,0.8332417582417583,0.8908977885251611,0.5999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,47,0.9110889110889111,0.9599499526447578,0.8435314685314685,0.8915887509094301,0.5099999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,48,0.9150849150849151,0.9633707950391268,0.8443556443556444,0.8850824699775748,0.5099999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,49,0.9120879120879121,0.9613217077627667,0.8415834165834166,0.8920623282811095,0.5099999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,50,0.9127122877122877,0.9618235161441955,0.8426573426573427,0.8960004056882179,0.5499999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,51,0.9115884115884116,0.9625677768784662,0.8344155844155844,0.8897050651646057,0.5799999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,52,0.9059690309690309,0.9582078760400439,0.848951048951049,0.9017899533034398,0.45999999999999985
LOO_AvgFlowDelay,32,AvgFlowDelay,53,0.9098401598401599,0.9604000519959561,0.841983016983017,0.8926403217162457,0.4999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,54,0.9127122877122877,0.9621885357399842,0.8471528471528471,0.8993446563426584,0.5399999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,55,0.9134615384615384,0.9639082820276627,0.8393606393606393,0.8894460334869926,0.48999999999999977
LOO_AvgFlowDelay,32,AvgFlowDelay,56,0.9088411588411588,0.9621988900210678,0.8467282717282717,0.895945645263827,0.45999999999999985
LOO_AvgFlowDelay,32,AvgFlowDelay,57,0.9104645354645354,0.9627885850413324,0.8413086913086913,0.8924992989028954,0.5299999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,58,0.910964035964036,0.9611894099906089,0.8466283716283717,0.8953366463706125,0.4999999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,59,0.9067182817182817,0.9562013286413886,0.8475024975024975,0.8929129811247694,0.5399999999999998
LOO_AvgFlowDelay,32,AvgFlowDelay,60,0.9105894105894106,0.9628465315902879,0.8381868131868132,0.8932551414619347,0.5799999999999997
LOO_AvgFlowDelay,32,AvgFlowDelay,61,0.9144605394605395,0.9641961435168227,0.8428071928071929,0.8917539378703214,0.47999999999999976
LOO_AvgFlowJit,32,AvgFlowJitter,42,0.9093406593406593,0.9604066637658046,0.842107892107892,0.8902142612632125,0.5099999999999998
LOO_AvgFlowJit,32,AvgFlowJitter,43,0.9135864135864136,0.9628130361147345,0.835964035964036,0.8892421863850436,0.5899999999999997
