delta_mean,delta_std,delta_ci_lo,delta_ci_hi,paired_t,paired_p_twosided,cohens_d_paired,n_seeds,config,classifier,direction,partition,metric
0.0006493506493506551,0.0012198937050451272,-0.0013205544455544365,0.0024381868131867794,2.380522478600677,0.027911695810159506,0.5323010084117401,20,Plus_Engineered,CatBoost,SM,te,acc
-1.4845294565607459e-05,0.0004105368755962051,-0.0004427219259261261,0.0009177183331153217,-0.1617154987429506,0.8732371952421276,-0.036160684820451934,20,Plus_Engineered,CatBoost,SM,te,auc
0.00012362637362637875,0.012277514128467483,-0.018919205794205855,0.02270791708291708,0.04503142449649549,0.9645521827644197,0.010069332629781316,20,Plus_Engineered,CatBoost,SM,tgt,acc
-0.0017841869045040703,0.0052458132192523725,-0.009999234375764032,0.007838601770357525,-1.5210466085197807,0.14471644116219728,-0.340116361359574,20,Plus_Engineered,CatBoost,SM,tgt,auc
0.0001748251748251828,0.0018057078503720574,-0.002953296703296704,0.0032467532467532756,0.43298363576017707,0.6699019555885559,0.09681808427047649,20,Plus_Engineered,CatBoost,MS,te,acc
0.0003924428468634278,0.0004104132598926891,-0.0003911563586262934,0.0010366272713300232,4.276318377723041,0.00040780033508116127,0.9562138586020343,20,Plus_Engineered,CatBoost,MS,te,auc
-0.00038961038961037866,0.0019726758604885165,-0.002898351648351627,0.003752497502497495,-0.8832625099323113,0.38813395518106564,-0.19750350141857312,20,Plus_Engineered,CatBoost,MS,tgt,acc
-0.0005897002597801515,0.001318664392151428,-0.003429496327847936,0.001405133203459971,-1.999917302789021,0.060011674854605505,-0.447195103841428,20,Plus_Engineered,CatBoost,MS,tgt,auc
0.00029345654345655503,0.0008295902069280447,-0.0010645604395604108,0.0014391858141858142,1.5819588373417077,0.13016283827333858,0.3537367497902591,20,Plus_Engineered,LogReg,SM,te,acc
0.00016883871622880298,0.00021812154881360995,-0.0001987522966544586,0.0005106375891840207,3.4616923341582626,0.0026127674534184016,0.7740579376367792,20,Plus_Engineered,LogReg,SM,te,auc
0.008394105894105903,0.0025954035733722447,0.003286713286713314,0.012638611388611401,14.46387111593947,1.0422308649269856e-11,3.23421990330364,20,Plus_Engineered,LogReg,SM,tgt,acc
0.008603801355986684,0.0029662830604759256,0.0028141638893076026,0.014095480568382713,12.9715770913679,6.881247698155615e-11,2.9005328151677627,20,Plus_Engineered,LogReg,SM,tgt,auc
0.0011675824175824301,0.0009801535556110631,-0.00038086913086904926,0.002563061938061972,5.327315582547056,3.8473021519823666e-05,1.191223978016911,20,Plus_Engineered,LogReg,MS,te,acc
0.001957838614931534,0.0004088886829931872,0.0013468642995366654,0.00269769722036208,21.41345756949643,9.170949900652339e-15,4.788194675870144,20,Plus_Engineered,LogReg,MS,te,auc
0.007139110889110905,0.0016593342452284189,0.003966033966033944,0.01026973026973028,19.240894103000276,6.427672965816136e-14,4.302394716218346,20,Plus_Engineered,LogReg,MS,tgt,acc
0.00521310844500158,0.0003591585162982224,0.00459208068405125,0.005815466751031248,64.91208938742044,8.977303819438912e-24,14.51478444318148,20,Plus_Engineered,LogReg,MS,tgt,auc
0.00046828171828173224,0.0014045712791909445,-0.002285214785214734,0.0028502747252747156,1.4910026571261106,0.15237686867521377,0.3333983295966795,20,Plus_Log,CatBoost,SM,te,acc
-1.6332942781482896e-05,0.00038523945913099744,-0.0006880575717988557,0.0006299457285972142,-0.18960451462782993,0.8516299254596905,-0.042396858354868096,20,Plus_Log,CatBoost,SM,te,auc
-0.0030731768231768266,0.013809517627284808,-0.023199925074925107,0.021800699300699295,-0.995231327982505,0.33213050156043444,-0.22254049027062697,20,Plus_Log,CatBoost,SM,tgt,acc
-0.004819325654365586,0.0060876790083913375,-0.01426146711679931,0.005260956232828127,-3.5403771302711124,0.0021855048875580835,-0.7916523929271836,20,Plus_Log,CatBoost,SM,tgt,auc
-0.0003434065934065811,0.001443758717535673,-0.0024381868131867794,0.0026192557442557742,-1.06372412156157,0.300786702371086,-0.23785594451179204,20,Plus_Log,CatBoost,MS,te,acc
-6.496063876182401e-05,0.00020153994932661294,-0.00036394518318850767,0.0002995833462242607,-1.4414651250888797,0.16573295850632408,-0.3223214006893972,20,Plus_Log,CatBoost,MS,te,auc
