config,classifier,direction,partition,metric,mean,std,ci_lo,ci_hi
Standard_33,CatBoost,SM,te,acc,0.904689060939061,0.0028484194771647843,0.8995379620379621,0.9091033966033966
Standard_33,CatBoost,SM,te,auc,0.9580362413560465,0.0016496968839807276,0.955391701829639,0.9606679362720196
Standard_33,CatBoost,SM,tgt,acc,0.6697215284715285,0.015094553538344083,0.6458897352647353,0.697496878121878
Standard_33,CatBoost,SM,tgt,auc,0.8357083016883216,0.008021695742855418,0.8194572148942466,0.8467096636817228
Standard_33,CatBoost,MS,te,acc,0.9118631368631368,0.003410377455497959,0.9067120379620379,0.9183909840159841
Standard_33,CatBoost,MS,te,auc,0.961720893367372,0.0021700908689839806,0.9573452505910671,0.9651368283938839
Standard_33,CatBoost,MS,tgt,acc,0.8423963536463537,0.0036763057719161234,0.8366414835164835,0.8475674325674325
Standard_33,CatBoost,MS,tgt,auc,0.8936440042225504,0.003572241865561863,0.8871716399858882,0.9005127140591677
Standard_33,LogReg,SM,te,acc,0.8854895104895105,0.0033719934838035382,0.8799575424575424,0.8914679070929071
Standard_33,LogReg,SM,te,auc,0.9437261181001814,0.0023153275115962305,0.9396964315030624,0.9472753933441682
Standard_33,LogReg,SM,tgt,acc,0.7518981018981019,0.01191804754115057,0.7263061938061938,0.7656605894105895
Standard_33,LogReg,SM,tgt,auc,0.7582980224071633,0.014370357686659107,0.7247274833682801,0.7730084572021385
Standard_33,LogReg,MS,te,acc,0.8961226273726275,0.002916583137434748,0.8904408091908093,0.901358016983017
Standard_33,LogReg,MS,te,auc,0.9429506089564781,0.0026691506122024254,0.938363695183438,0.9477344178049723
Standard_33,LogReg,MS,tgt,acc,0.8250037462537462,0.0017409745976600492,0.8220223526473526,0.8283959790209791
Standard_33,LogReg,MS,tgt,auc,0.8791913231623522,0.0012478949957770286,0.8771088766378476,0.8809979912694698
Plus_Engineered,CatBoost,SM,te,acc,0.9053384115884116,0.00243745677895729,0.9010146103896104,0.9088536463536464
Plus_Engineered,CatBoost,SM,te,auc,0.958021396061481,0.0016816098512115124,0.9557403728888494,0.9605799389172265
Plus_Engineered,CatBoost,SM,tgt,acc,0.6698451548451548,0.014101749735665248,0.6448994755244756,0.6956237512487513
Plus_Engineered,CatBoost,SM,tgt,auc,0.8339241147838174,0.008766480289118769,0.8185559032001964,0.8459678955534975
Plus_Engineered,CatBoost,MS,te,acc,0.9120379620379622,0.003401171990837737,0.9067932067932069,0.9186844405594405
Plus_Engineered,CatBoost,MS,te,auc,0.9621133362142353,0.0021613824071853457,0.9579523514073339,0.9654883889836438
Plus_Engineered,CatBoost,MS,tgt,acc,0.8420067432567432,0.004050799082945916,0.8349775224775224,0.8474968781218781
Plus_Engineered,CatBoost,MS,tgt,auc,0.8930543039627705,0.003918191688036001,0.8862931495951601,0.8997450947528994
Plus_Engineered,LogReg,SM,te,acc,0.8857829670329671,0.0036630154882804937,0.8798576423576423,0.8925324675324675
Plus_Engineered,LogReg,SM,te,auc,0.9438949568164103,0.002306154477272074,0.9399284141807244,0.9476261641081195
