K,method,variant,classifier,acc_S_test_mean,acc_S_test_std,auc_S_test_mean,auc_S_test_std,acc_M_test_mean,acc_M_test_std,auc_M_test_mean,auc_M_test_std,acc_SM_mean,acc_SM_std,auc_SM_mean,auc_SM_std,acc_MS_mean,acc_MS_std,auc_MS_mean,auc_MS_std,asymmetry_mean,asymmetry_std,n_features,n_features_passing_threshold
1,rf_native,soft,xgboost,0.8418956043956044,0.004017286998664741,0.8940297527148177,0.003511875944990842,0.8463598901098901,0.0032609476189082603,0.8975591450881785,0.0036850119624920723,0.8106605894105894,0.003921428664672636,0.8839199979590839,0.0007070978639835006,0.8016995504495504,0.007537949003821896,0.8951685761166905,0.0006946966594182986,0.010054945054945006,0.006255430486765546,1.0,0.0
2,rf_native,soft,xgboost,0.8412774725274724,0.004395715489743729,0.8947091900357386,0.0035356721578350897,0.8718906093906094,0.0035583702542854654,0.9256247140097663,0.0028018841007128046,0.8231356143856144,0.004922946742185538,0.8689697097981938,0.0025505526004401835,0.8276773226773226,0.0032466177518876544,0.8630816230472824,0.0031410447740395473,0.006447302697302655,0.004504968065391373,2.0,0.0
3,rf_native,soft,xgboost,0.8410214785214786,0.003716759123001991,0.893108028335301,0.0035403624005169595,0.8722402597402598,0.003633234814829867,0.9258872667666997,0.0025631379238203484,0.8329982517482517,0.003427247795108272,0.8787817163480875,0.0023840950660510567,0.8273801198801198,0.0032201535693946026,0.8639860548417616,0.0030380315636588727,0.006207542457542415,0.004610513899944505,3.0,0.0
4,rf_native,soft,xgboost,0.8418144355644357,0.00445310902709265,0.8972447663475386,0.003677215605884595,0.873951048951049,0.003916425262316513,0.93088645401801,0.0024771361931524554,0.8255019980019981,0.011293909538431896,0.8860459652734878,0.005230823543513708,0.8277022977022976,0.003199242260553732,0.8690280374595435,0.003010425865156674,0.008998501498501444,0.007336704471167334,4.0,0.0
5,rf_native,soft,xgboost,0.8491071428571428,0.004346295482643792,0.9123198230341087,0.003605172558112757,0.8755307192807192,0.003394281733226346,0.9332032836668827,0.002623563643379993,0.8306356143856144,0.01365747585365338,0.8835834508897695,0.004518414257147513,0.8210664335664335,0.0035132090612234007,0.8585683109348194,0.0033355994036427315,0.012613636363636322,0.009405788660375608,5.0,2.0
6,rf_native,soft,xgboost,0.8582230269730269,0.003535317408888332,0.9206949721731815,0.0031422917306176768,0.8962225274725275,0.0038224791140146703,0.9455079105459975,0.002326320027852074,0.8553109390609391,0.008000876906856804,0.9031112782073072,0.0033169242624641318,0.8389148351648352,0.0015800637139659825,0.878753130236397,0.00163123778122712,0.017032967032966986,0.0061556163860922745,6.0,2.0
7,rf_native,soft,xgboost,0.8588786213786215,0.0033865414580878015,0.9224168485735044,0.0031805004524661463,0.8966408591408591,0.0034656414407013823,0.9456420842519119,0.00236479678895542,0.8582592407592408,0.008447227058979892,0.9049429752315618,0.0027393069765926643,0.8394542957042956,0.001471327543028856,0.8786397167393046,0.0015445200712178497,0.018899850149850107,0.00770711915289592,7.0,2.0
8,rf_native,soft,xgboost,0.8593843656343656,0.003276564924746425,0.9241886391580447,0.0031055743564188097,0.8967095404595404,0.0038185693846373935,0.946080584937041,0.002380634696585622,0.8567582417582418,0.008823951436437496,0.902568924706662,0.0037445096842567446,0.8416158841158842,0.001766132932416958,0.8807707080007905,0.0016090424632951698,0.016096403596403536,0.006623146734958551,8.0,5.0
9,rf_native,soft,xgboost,0.866602147852148,0.003241661983897219,0.9299797121584709,0.0027965936438734498,0.8971278721278722,0.0038016221387583604,0.9460651049749451,0.002160440417157239,0.8264010989010989,0.009107371706834051,0.8877904476891739,0.00503218517666432,0.842283966033966,0.0015384008281505413,0.8820588130650568,0.0013598538788549958,0.01588286713286708,0.008655363831577745,9.0,5.0
10,rf_native,soft,xgboost,0.8735826673326674,0.00396451221894498,0.9370963576882657,0.00279501022392293,0.9059565434565435,0.0031650622770539316,0.9534823069038854,0.002014583644509575,0.8259640359640359,0.007756303100398059,0.8878370930393282,0.0040468317811247325,0.8460227272727273,0.0011205814558634434,0.8860231956480084,0.0021590722682424857,0.02005869130869126,0.008191484676291117,10.0,5.0
11,rf_native,soft,xgboost,0.8806256243756243,0.003970965933598663,0.9419304955159726,0.0025543426774849473,0.9063436563436562,0.002709955271323881,0.9543442961259518,0.0019507063937445252,0.7182180319680319,0.013107200168964071,0.8580337676808705,0.007055993028669493,0.8470054945054946,0.0012344174454656971,0.8911065332644379,0.0015725129203235414,0.1287874625374625,0.013011952122481999,11.0,6.0
12,rf_native,soft,xgboost,0.8859140859140859,0.0032120374004143857,0.945632338128904,0.002465732413972371,0.9070554445554446,0.0027826057258887146,0.9559100942139779,0.001676006003905432,0.726008991008991,0.011600203002538398,0.8536115733666932,0.008260940712060353,0.8450412087912088,0.0012062398197796075,0.8853358243903948,0.0017819629704064499,0.11903221778221773,0.011920838897819022,12.0,6.0
13,rf_native,soft,xgboost,0.8854458041958042,0.003014825494563561,0.9456387752482283,0.0024956852876135732,0.9070242257742258,0.0030462943914652055,0.9559484799042117,0.0017015227651245445,0.73251998001998,0.014054590324408582,0.8557581943530994,0.00748229451756331,0.8449013486513486,0.0012802503671695904,0.8852209841232692,0.0018658688032873844,0.1123813686313686,0.01425483182015514,13.0,8.0
14,rf_native,soft,xgboost,0.9000499500499501,0.0028832223306867084,0.9550995598432536,0.002476933317911295,0.9077859640359639,0.0031887199958041705,0.956770260521197,0.0016674713516079446,0.7052897102897103,0.012575836754948075,0.8326608445251052,0.008983298534333713,0.8443706293706293,0.0016966268498703225,0.8883416958291459,0.002394664207949476,0.13908091908091907,0.01208218461720605,14.0,9.0
15,rf_native,soft,xgboost,0.9003683816183816,0.002293037963851519,0.9550197040097764,0.002479919726973664,0.9078234265734265,0.003011829475155164,0.9569007119878122,0.0017246038109946875,0.7100387112887112,0.012572865344515724,0.8366996400826945,0.008308428809891799,0.8450811688311688,0.001355049713467131,0.8892436123441992,0.0021297776459842867,0.13504245754245753,0.012352187251252535,15.0,9.0
16,rf_native,soft,xgboost,0.9042957042957044,0.0027744236153024087,0.9577890157420003,0.002395502756425919,0.9085539460539461,0.002858838072944392,0.9577150138198466,0.001836711893546547,0.6929507992007993,0.009105035492598315,0.8321226036700562,0.007069083720256817,0.8458678821178822,0.0014305921537329641,0.8921905525792889,0.0023152998744118787,0.1529170829170829,0.009134649549221234,16.0,10.0
17,rf_native,soft,xgboost,0.903715034965035,0.002846863129040998,0.9576324602595208,0.0024097381704485383,0.908784965034965,0.002873549153751578,0.9580605224570634,0.0017995575722246021,0.6699962537462538,0.005390107984967404,0.8155660203931931,0.00836355419077867,0.8467982017982019,0.0015213006987828564,0.8929244497385731,0.001966455912146038,0.17680194805194802,0.005024678377365328,17.0,12.0
