method,K,threshold,n_features_passing
rf_native,1,0.6,0
rf_native,1,0.7,0
rf_native,1,0.8,0
rf_native,1,0.9,0
rf_native,2,0.6,0
rf_native,2,0.7,0
rf_native,2,0.8,0
rf_native,2,0.9,0
rf_native,3,0.6,0
rf_native,3,0.7,0
rf_native,3,0.8,0
rf_native,3,0.9,0
rf_native,4,0.6,1
rf_native,4,0.7,0
rf_native,4,0.8,0
rf_native,4,0.9,0
rf_native,5,0.6,2
rf_native,5,0.7,2
rf_native,5,0.8,2
rf_native,5,0.9,1
rf_native,6,0.6,3
rf_native,6,0.7,2
rf_native,6,0.8,2
rf_native,6,0.9,2
rf_native,7,0.6,5
rf_native,7,0.7,4
rf_native,7,0.8,2
rf_native,7,0.9,2
rf_native,8,0.6,5
rf_native,8,0.7,5
rf_native,8,0.8,5
rf_native,8,0.9,4
rf_native,9,0.6,5
rf_native,9,0.7,5
rf_native,9,0.8,5
rf_native,9,0.9,5
rf_native,10,0.6,6
rf_native,10,0.7,5
rf_native,10,0.8,5
rf_native,10,0.9,5
rf_native,11,0.6,6
rf_native,11,0.7,6
rf_native,11,0.8,6
rf_native,11,0.9,5
rf_native,12,0.6,8
rf_native,12,0.7,6
rf_native,12,0.8,6
rf_native,12,0.9,6
rf_native,13,0.6,9
rf_native,13,0.7,8
rf_native,13,0.8,8
rf_native,13,0.9,6
rf_native,14,0.6,10
rf_native,14,0.7,9
rf_native,14,0.8,9
rf_native,14,0.9,9
rf_native,15,0.6,10
rf_native,15,0.7,9
rf_native,15,0.8,9
rf_native,15,0.9,9
rf_native,16,0.6,12
rf_native,16,0.7,11
rf_native,16,0.8,10
rf_native,16,0.9,9
rf_native,17,0.6,12
rf_native,17,0.7,12
rf_native,17,0.8,12
rf_native,17,0.9,11
rf_native,18,0.6,13
rf_native,18,0.7,13
rf_native,18,0.8,13
rf_native,18,0.9,12
rf_native,19,0.6,14
rf_native,19,0.7,14
rf_native,19,0.8,13
rf_native,19,0.9,12
rf_native,20,0.6,16
rf_native,20,0.7,16
rf_native,20,0.8,16
rf_native,20,0.9,13
rf_native,21,0.6,17
rf_native,21,0.7,16
rf_native,21,0.8,16
rf_native,21,0.9,16
rf_native,22,0.6,19
rf_native,22,0.7,18
rf_native,22,0.8,18
rf_native,22,0.9,18
rf_native,23,0.6,21
rf_native,23,0.7,21
rf_native,23,0.8,21
rf_native,23,0.9,20
rf_native,24,0.6,23
rf_native,24,0.7,22
rf_native,24,0.8,22
rf_native,24,0.9,22
rf_native,25,0.6,25
rf_native,25,0.7,25
rf_native,25,0.8,25
rf_native,25,0.9,25
rf_native,26,0.6,25
rf_native,26,0.7,25
rf_native,26,0.8,25
rf_native,26,0.9,25
rf_native,27,0.6,25
rf_native,27,0.7,25
rf_native,27,0.8,25
rf_native,27,0.9,25
rf_native,28,0.6,27
rf_native,28,0.7,27
rf_native,28,0.8,27
rf_native,28,0.9,27
rf_native,29,0.6,28
rf_native,29,0.7,28
rf_native,29,0.8,28
rf_native,29,0.9,28
rf_native,30,0.6,29
rf_native,30,0.7,29
rf_native,30,0.8,29
rf_native,30,0.9,29
rf_native,31,0.6,31
rf_native,31,0.7,31
rf_native,31,0.8,31
rf_native,31,0.9,31
rf_native,32,0.6,32
rf_native,32,0.7,32
rf_native,32,0.8,32
rf_native,32,0.9,32
rf_native,33,0.6,33
rf_native,33,0.7,33
rf_native,33,0.8,33
rf_native,33,0.9,33
xgb_gain,1,0.6,0
xgb_gain,1,0.7,0
xgb_gain,1,0.8,0
xgb_gain,1,0.9,0
xgb_gain,2,0.6,0
xgb_gain,2,0.7,0
xgb_gain,2,0.8,0
xgb_gain,2,0.9,0
xgb_gain,3,0.6,0
xgb_gain,3,0.7,0
xgb_gain,3,0.8,0
xgb_gain,3,0.9,0
xgb_gain,4,0.6,0
xgb_gain,4,0.7,0
xgb_gain,4,0.8,0
xgb_gain,4,0.9,0
xgb_gain,5,0.6,3
xgb_gain,5,0.7,3
xgb_gain,5,0.8,3
xgb_gain,5,0.9,3
xgb_gain,6,0.6,3
xgb_gain,6,0.7,3
xgb_gain,6,0.8,3
xgb_gain,6,0.9,3
xgb_gain,7,0.6,3
xgb_gain,7,0.7,3
xgb_gain,7,0.8,3
xgb_gain,7,0.9,3
xgb_gain,8,0.6,3
xgb_gain,8,0.7,3
xgb_gain,8,0.8,3
xgb_gain,8,0.9,3
xgb_gain,9,0.6,4
xgb_gain,9,0.7,4
xgb_gain,9,0.8,4
xgb_gain,9,0.9,3
xgb_gain,10,0.6,4
xgb_gain,10,0.7,4
xgb_gain,10,0.8,4
xgb_gain,10,0.9,4
xgb_gain,11,0.6,4
xgb_gain,11,0.7,4
xgb_gain,11,0.8,4
xgb_gain,11,0.9,4
xgb_gain,12,0.6,5
xgb_gain,12,0.7,5
xgb_gain,12,0.8,4
xgb_gain,12,0.9,4
xgb_gain,13,0.6,6
xgb_gain,13,0.7,6
xgb_gain,13,0.8,5
xgb_gain,13,0.9,5
xgb_gain,14,0.6,6
xgb_gain,14,0.7,6
xgb_gain,14,0.8,6
xgb_gain,14,0.9,6
xgb_gain,15,0.6,7
xgb_gain,15,0.7,6
xgb_gain,15,0.8,6
xgb_gain,15,0.9,6
xgb_gain,16,0.6,7
xgb_gain,16,0.7,7
xgb_gain,16,0.8,7
xgb_gain,16,0.9,6
xgb_gain,17,0.6,8
xgb_gain,17,0.7,8
xgb_gain,17,0.8,8
xgb_gain,17,0.9,7
xgb_gain,18,0.6,9
xgb_gain,18,0.7,8
xgb_gain,18,0.8,8
xgb_gain,18,0.9,8
xgb_gain,19,0.6,10
xgb_gain,19,0.7,10
xgb_gain,19,0.8,8
xgb_gain,19,0.9,8
xgb_gain,20,0.6,10
xgb_gain,20,0.7,10
xgb_gain,20,0.8,9
xgb_gain,20,0.9,8
xgb_gain,21,0.6,14
xgb_gain,21,0.7,11
xgb_gain,21,0.8,10
xgb_gain,21,0.9,10
xgb_gain,22,0.6,15
xgb_gain,22,0.7,14
xgb_gain,22,0.8,13
xgb_gain,22,0.9,11
xgb_gain,23,0.6,15
xgb_gain,23,0.7,15
xgb_gain,23,0.8,14
xgb_gain,23,0.9,13
xgb_gain,24,0.6,17
xgb_gain,24,0.7,16
xgb_gain,24,0.8,15
xgb_gain,24,0.9,14
xgb_gain,25,0.6,18
xgb_gain,25,0.7,18
xgb_gain,25,0.8,18
xgb_gain,25,0.9,15
xgb_gain,26,0.6,21
xgb_gain,26,0.7,21
xgb_gain,26,0.8,19
xgb_gain,26,0.9,18
xgb_gain,27,0.6,24
xgb_gain,27,0.7,23
xgb_gain,27,0.8,22
xgb_gain,27,0.9,21
xgb_gain,28,0.6,25
xgb_gain,28,0.7,25
xgb_gain,28,0.8,24
xgb_gain,28,0.9,23
xgb_gain,29,0.6,26
