model,cv_accuracy,test_accuracy,test_ci_low,test_ci_high,test_auc,test_f1,elapsed_s,best_params,edge_warnings,grid_mode
logisticregression,0.5505744255744256,0.5473276723276723,0.5364054807744506,0.558204477565215,0.5701327581010399,0.5470448581781832,1.0721633434295654,"{""C"": 0.0001, ""penalty"": ""l2"", ""solver"": ""lbfgs""}","C=0.0001 (range [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000, 10000])",extended
ridge,0.8931068931068932,0.8926073926073926,0.8856368772586772,0.8992014051157523,0.9436833770624979,0.8866033755274262,0.23350167274475098,"{""alpha"": 1.0}",,extended
extratrees,0.90497002997003,0.9067182817182817,0.9001519667023026,0.9128945618261697,0.9567418096389124,0.9011774044185739,244.02074599266052,"{""n_estimators"": 800, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}","min_samples_leaf=1 (range [1, 2, 5, 10]); max_features=0.7 (range ['sqrt', 'log2', 0.3, 0.5, 0.7])",extended
lightgbm,0.9091741591741592,0.9085914085914086,0.9020818952428971,0.9147090907396518,0.959019252475796,0.903506459267071,97.14013695716858,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""num_leaves"": 63, ""n_estimators"": 500, ""min_child_samples"": 50, ""max_depth"": 4, ""learning_rate"": 0.05, ""colsample_bytree"": 0.5}","subsample=1.0 (range [0.5, 0.7, 0.8, 1.0]); n_estimators=500 (range [500, 800, 1000, 1500, 2000]); max_depth=4 (range [4, 6, 8, 10, 12, -1]); colsample_bytree=0.5 (range [0.5, 0.7, 0.8, 1.0])",extended
xgboost,0.9094655344655345,0.9090909090909091,0.9025966772217239,0.9151928307485785,0.9598717341599459,0.9047868166361496,120.49425315856934,"{""subsample"": 0.8, ""reg_lambda"": 3, ""n_estimators"": 2000, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}","n_estimators=2000 (range [500, 800, 1000, 1500, 2000]); max_depth=3 (range [3, 4, 6, 7, 9, 11]); colsample_bytree=1.0 (range [0.5, 0.7, 0.8, 1.0])",extended
bagging_rf,0.9049700299700301,0.9055944055944056,0.8989943850520505,0.9118054690039759,0.9561087950511028,0.9001848428835489,589.5451440811157,"{""n_estimators"": 200, ""max_samples"": 0.7, ""max_features"": 1.0, ""estimator__max_depth"": 30}","max_features=1.0 (range [0.3, 0.5, 0.7, 0.8, 1.0])",extended
adaboost,0.9044289044289044,0.902972027972028,0.8962944274565113,0.909263186163808,0.9528032531903661,0.897749703908409,986.3297953605652,"{""n_estimators"": 300, ""learning_rate"": 0.5, ""estimator__max_depth"": 10}","estimator__max_depth=10 (range [1, 3, 5, 7, 10])",extended
gradientboosting,0.9078421578421579,0.9088411588411588,0.902339279086618,0.9149509678898073,0.9589092226454864,0.9044252422100026,1326.2784523963928,"{""subsample"": 1.0, ""n_estimators"": 1200, ""max_features"": ""sqrt"", ""max_depth"": 4, ""learning_rate"": 0.05}","subsample=1.0 (range [0.5, 0.7, 0.8, 1.0]); n_estimators=1200 (range [300, 500, 800, 1200])",extended
catboost,0.908841158841159,0.9075924075924076,0.9010525017354092,0.913741440271632,0.9594554421602375,0.902682798527091,1700.5419218540192,"{""subsample"": 1.0, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10, ""iterations"": 1000, ""depth"": 4}","subsample=1.0 (range [0.5, 0.7, 0.8, 1.0]); depth=4 (range [4, 6, 7, 8, 9, 10])",extended
randomforest,0.9053446553446554,0.9064685314685315,0.8998947022473112,0.9126525652872841,0.956716890751606,0.9012785027019903,2239.394809961319,"{""n_estimators"": 800, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}","min_samples_leaf=1 (range [1, 2, 5, 10]); max_features=0.7 (range ['sqrt', 'log2', 0.3, 0.5, 0.7])",extended
svm,0.8757908757908758,0.8792457542457542,0.8719265555637944,0.8862012636382229,0.9135835443278,0.8714266719851084,1051.5512578487396,"{""C"": 100, ""gamma"": 0.001}",,extended
bagging_et,0.8972277722277723,0.8972277722277723,0.8903852289487705,0.9036893818123811,0.9528182856104933,0.889987969522791,335.39531922340393,"{""n_estimators"": 30, ""max_samples"": 1.0, ""estimator__n_estimators"": 10, ""estimator__max_depth"": null}","max_samples=1.0 (range [0.3, 0.5, 0.7, 0.8, 1.0]); estimator__n_estimators=10 (range [10, 20, 30, 50])",extended
Stacking_Ensemble,,0.9090909090909091,0.9025966772217239,0.9151928307485785,0.9596141870117894,0.9048117154811716,2969.7507722377777,"{""meta"": ""L2-LR C=1.0"", ""n_bases"": 11}",,post-tuning
