model,cv_accuracy,test_accuracy,test_ci_low,test_ci_high,test_auc,test_f1,elapsed_s,best_params,edge_warnings,grid_mode
logisticregression,0.8752081252081253,0.8672577422577422,0.8596499051705547,0.874513386325373,0.932572547332787,0.8583610926049301,32.07029581069946,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",,extended
ridge,0.870004995004995,0.864010989010989,0.8563285433565428,0.8713443552189857,0.927126507358775,0.8534517561566412,0.2793772220611572,"{""alpha"": 0.01}",,extended
extratrees,0.8845321345321345,0.8834915084915085,0.8762798411745101,0.8903354149234137,0.9416231558152138,0.8756828780812791,166.45209956169128,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": 30}","n_estimators=300 (range [300, 500, 800, 1200, 1600]); min_samples_leaf=1 (range [1, 2, 5, 10])",extended
lightgbm,0.8883616383616383,0.8853646353646354,0.8782013487460516,0.8921583648059488,0.9445858836468227,0.8772399037175715,74.11029362678528,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""num_leaves"": 63, ""n_estimators"": 800, ""min_child_samples"": 100, ""max_depth"": 10, ""learning_rate"": 0.01, ""colsample_bytree"": 0.7}","min_child_samples=100 (range [5, 10, 20, 50, 100]); learning_rate=0.01 (range [0.01, 0.03, 0.05, 0.1, 0.2])",extended
xgboost,0.888902763902764,0.8846153846153846,0.8774326752437605,0.8914292553266092,0.9434108598694013,0.877127659574468,82.922678232193,"{""subsample"": 0.7, ""reg_lambda"": 1, ""n_estimators"": 2000, ""min_child_weight"": 10, ""max_depth"": 7, ""learning_rate"": 0.01, ""colsample_bytree"": 0.5}","n_estimators=2000 (range [500, 800, 1000, 1500, 2000]); min_child_weight=10 (range [1, 3, 5, 10]); learning_rate=0.01 (range [0.01, 0.03, 0.05, 0.1, 0.2]); colsample_bytree=0.5 (range [0.5, 0.7, 0.8, 1.0])",extended
bagging_rf,0.8853230103230104,0.8798701298701299,0.872566562813499,0.8868094088732105,0.9416532206554684,0.8712871287128713,329.6800649166107,"{""n_estimators"": 100, ""max_samples"": 0.5, ""max_features"": 0.7, ""estimator__max_depth"": 15}",,extended
adaboost,0.8838245088245088,0.8783716283716284,0.871030648808933,0.8853497569145152,0.9417305970752524,0.8701333333333333,681.0956807136536,"{""n_estimators"": 500, ""learning_rate"": 0.1, ""estimator__max_depth"": 7}","n_estimators=500 (range [50, 100, 200, 300, 500])",extended
gradientboosting,0.8871545121545122,0.8838661338661339,0.8766640958382507,0.8907000517504885,0.944733463339857,0.876657824933687,965.8348972797394,"{""subsample"": 1.0, ""n_estimators"": 1200, ""max_features"": ""sqrt"", ""max_depth"": 4, ""learning_rate"": 0.03}","subsample=1.0 (range [0.5, 0.7, 0.8, 1.0]); n_estimators=1200 (range [300, 500, 800, 1200])",extended
catboost,0.8886530136530136,0.8853646353646354,0.8782013487460516,0.8921583648059488,0.9461983446124305,0.8775346851654215,1360.0613315105438,"{""subsample"": 0.8, ""learning_rate"": 0.05, ""l2_leaf_reg"": 3, ""iterations"": 500, ""depth"": 7}","iterations=500 (range [500, 800, 1000, 1500])",extended
randomforest,0.8853646353646353,0.8829920079920079,0.8757675377401604,0.8898491963700097,0.9433332651364619,0.8748162992651971,1375.368511915207,"{""n_estimators"": 800, ""min_samples_split"": 10, ""min_samples_leaf"": 10, ""max_features"": 0.5, ""max_depth"": 30}","min_samples_leaf=10 (range [1, 2, 5, 10])",extended
svm,0.8790792540792541,0.8764985014985015,0.8691112499965735,0.8835246982727981,0.9295287629453464,0.8661886077662021,1229.314378976822,"{""C"": 10000, ""gamma"": 0.001}","C=10000 (range [1, 10, 100, 1000, 10000])",extended
bagging_et,0.8819513819513819,0.879995004995005,0.8726945716917025,0.8869310304919453,0.9412290070069792,0.8712659075686537,305.40797424316406,"{""n_estimators"": 20, ""max_samples"": 1.0, ""estimator__n_estimators"": 50, ""estimator__max_depth"": null}","n_estimators=20 (range [20, 30, 50, 100, 200]); max_samples=1.0 (range [0.3, 0.5, 0.7, 0.8, 1.0]); estimator__n_estimators=50 (range [10, 20, 30, 50])",extended
Stacking_Ensemble,,0.8874875124875125,0.8803797750741593,0.8942236569257944,0.9453285850014121,0.8787185354691075,2035.5856006145477,"{""meta"": ""L2-LR C=1.0"", ""n_bases"": 11}",,post-tuning
