K,n_features,classifier,direction,acc_mean,acc_std,auc_mean,auc_std,n_seeds,features
1,1,catboost_tuned,S_in_domain,0.7674762737262737,0.0032084773707224,0.8216099662699937,0.0039675958846369,20,AverageAdvertisedLinksPerTCMessage
1,1,catboost_tuned,M_in_domain,0.8186063936063934,0.0027610796880613,0.8754338895994115,0.0031800554525205,20,AverageAdvertisedLinksPerTCMessage
1,1,catboost_tuned,S_to_M,0.8026048951048951,0.0023839959424844,0.8674767514578328,0.001233472448571,20,AverageAdvertisedLinksPerTCMessage
1,1,catboost_tuned,M_to_S,0.7462662337662337,0.0057947185300858,0.8241311638536288,0.0003557690286673,20,AverageAdvertisedLinksPerTCMessage
2,2,catboost_tuned,S_in_domain,0.8489448051948051,0.0029345374668789,0.8981057326165341,0.0035628104154567,20,AverageAdvertisedLinksPerTCMessage;FlowThroughputStd
2,2,catboost_tuned,M_in_domain,0.8618194305694307,0.0032735577402156,0.9127816972612802,0.0036156172963918,20,AverageAdvertisedLinksPerTCMessage;FlowThroughputStd
2,2,catboost_tuned,S_to_M,0.8245604395604396,0.0031476292173463,0.8895431832153861,0.0013354580750045,20,AverageAdvertisedLinksPerTCMessage;FlowThroughputStd
2,2,catboost_tuned,M_to_S,0.7937974525474526,0.0083825245017787,0.8928269722285707,0.0004576760769033,20,AverageAdvertisedLinksPerTCMessage;FlowThroughputStd
4,4,catboost_tuned,S_in_domain,0.8682692307692307,0.003500468146529,0.9311780299495712,0.0026791451423863,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,M_in_domain,0.895772977022977,0.0029038925331778,0.9475802403765066,0.0022412128772816,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,S_to_M,0.8638673826173827,0.0040637889599534,0.8974105711346596,0.0027801875511538,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,M_to_S,0.8588511488511488,0.0014223975201291,0.9199112698615072,0.000891985145924,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
5,5,catboost_tuned,S_in_domain,0.8700299700299701,0.0031972344798197,0.938396008649193,0.002433568122742,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,M_in_domain,0.8980144855144856,0.0029448186065221,0.9507915785513188,0.0021896773899302,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,S_to_M,0.8658304195804195,0.0027584183307155,0.8968148080066785,0.0028392928850066,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,M_to_S,0.8521078921078923,0.0018420204872308,0.9043891015328328,0.0019737872802817,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
9,9,catboost_tuned,S_in_domain,0.9048076923076922,0.0024777400453835,0.9574516704574144,0.00148269364753,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,M_in_domain,0.9063936063936064,0.0032892960742772,0.957239686824165,0.0022831879410869,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,S_to_M,0.7084627872127872,0.0167644403400557,0.8563959656103138,0.0054452028429527,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,M_to_S,0.8524525474525474,0.0021894303743411,0.908826585252909,0.0025563695742447,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
13,13,catboost_tuned,S_in_domain,0.9040709290709292,0.0026255367189466,0.9572258223794188,0.001361505324237,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput
13,13,catboost_tuned,M_in_domain,0.9089847652347652,0.0029230481693564,0.958815703527242,0.0021264882978984,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput
13,13,catboost_tuned,S_to_M,0.6783791208791208,0.0110600738598863,0.8470894438977605,0.0065547697238749,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput
13,13,catboost_tuned,M_to_S,0.8501773226773226,0.00231926000058,0.9016551330163344,0.0026963034392007,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd;AvgRxPacketsPerFlow;AvgTxBytesPerFlow;AverageEndToEndDelay;Throughput
