K,n_features,classifier,direction,acc_mean,acc_std,auc_mean,auc_std,n_seeds,features
4,4,catboost_tuned,S_in_domain,0.8682692307692307,0.0035004681465290524,0.9311780299495711,0.0026791451423863006,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,M_in_domain,0.895772977022977,0.002903892533177825,0.9475802403765066,0.0022412128772816126,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,S_to_M,0.8638673826173827,0.00406378895995342,0.8974105711346596,0.0027801875511538,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
4,4,catboost_tuned,M_to_S,0.8588511488511488,0.0014223975201291177,0.9199112698615071,0.0008919851459240651,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd
5,5,catboost_tuned,S_in_domain,0.8700299700299701,0.00319723447981978,0.938396008649193,0.002433568122742089,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,M_in_domain,0.8980144855144856,0.0029448186065221555,0.9507915785513189,0.0021896773899302406,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,S_to_M,0.8658304195804195,0.0027584183307155356,0.8968148080066785,0.002839292885006677,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
5,5,catboost_tuned,M_to_S,0.8521078921078923,0.0018420204872308605,0.9043891015328327,0.001973787280281779,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount
9,9,catboost_tuned,S_in_domain,0.9048076923076922,0.0024777400453835294,0.9574516704574145,0.001482693647530097,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,M_in_domain,0.9063936063936063,0.003289296074277227,0.957239686824165,0.002283187941086916,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,S_to_M,0.7084627872127872,0.016764440340055753,0.8563959656103138,0.005445202842952771,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
9,9,catboost_tuned,M_to_S,0.8524525474525474,0.0021894303743411293,0.908826585252909,0.002556369574244723,20,AverageAdvertisedLinksPerTCMessage;AverageMprCount;DataPacketRate;FlowThroughputStd;AverageHopCount;FlowJitterStd;AvgTxPacketsPerFlow;RoutingOverheadBytesRatio;FlowDelayStd
