Model,Threshold,AUC,Accuracy,Precision,Recall,F1,MCC,Kappa,TN,FP,FN,TP
Stacking_Ensemble,0.5,0.9596136880102915,0.9083416583416584,0.9549248747913188,0.8571428571428571,0.9033956304290602,0.8209988558066884,0.8166833166833167,3842,162,572,3432
XGB_conservative,0.5299999999999998,0.955500075598727,0.903096903096903,0.9689134224288205,0.8329170829170829,0.8957829707225355,0.8142544476777254,0.8061938061938062,3897,107,669,3335
CatBoost_balanced,0.5199999999999998,0.9534742230796176,0.9020979020979021,0.9713114754098361,0.8286713286713286,0.8943396226415095,0.8130102125789669,0.8041958041958042,3906,98,686,3318
CatBoost_deep,0.47999999999999976,0.9537645795762679,0.901973026973027,0.9626329405001437,0.8364135864135864,0.8950955499131364,0.8109472435800947,0.8039460539460539,3874,130,655,3349
GradientBoosting,0.5499999999999998,0.9545791059589761,0.9013486513486514,0.9704332552693209,0.827922077922078,0.8935309973045822,0.8114952867170184,0.8026973026973027,3903,101,689,3315
AdaBoost,0.48999999999999977,0.9530891498611278,0.9004745254745254,0.9630378284724228,0.8329170829170829,0.8932636935851078,0.8083617778428505,0.8009490509490509,3876,128,669,3335
Bagging_RF,0.5099999999999998,0.9530518494991522,0.9003496503496503,0.9643684820393974,0.8314185814185814,0.8929721030042919,0.8084185434834462,0.8006993006993007,3881,123,675,3329
LGBM_balanced,0.5799999999999997,0.9524143438978604,0.8991008991008991,0.9775851763299462,0.8169330669330669,0.8900680272108844,0.8092033420057141,0.7982017982017982,3929,75,733,3271
RandomForest,0.5599999999999997,0.9524090731945378,0.8971028971028971,0.9690265486725663,0.8204295704295704,0.8885582905058155,0.8037117295994227,0.7942057942057942,3899,105,719,3285
LGBM_deep,0.6299999999999997,0.9534961479579362,0.8968531468531469,0.9797705314009661,0.8104395604395604,0.8870967741935484,0.8058323251662898,0.7937062937062938,3937,67,759,3245
XGB_balanced,0.6299999999999997,0.9541823997680642,0.8963536463536463,0.9814927184466019,0.807942057942058,0.8863013698630137,0.8053982470252459,0.7927072927072927,3943,61,769,3235
ExtraTrees,0.44999999999999984,0.9499886976160703,0.8934815184815185,0.9426805282382692,0.8379120879120879,0.8872140684913394,0.7918687533233658,0.7869630369630369,3800,204,649,3355
Ridge,0.5,0.943268613254877,0.8929820179820179,0.9562191939692665,0.8236763236763237,0.8850127465450154,0.7936250174445038,0.785964035964036,3853,151,706,3298
Bagging_ET,0.47999999999999976,0.9444093306793107,0.8847402597402597,0.9469103568320278,0.8151848151848152,0.8761240101999732,0.7770357860228386,0.7694805194805194,3821,183,740,3264
LogisticRegression,0.4999999999999998,0.7674471819389402,0.7112887112887113,0.6891771019677997,0.7697302697302697,0.7272298253893346,0.4254938949011408,0.4225774225774226,2614,1390,922,3082
SVM_rbf,0.3999999999999998,0.5612649089172566,0.5108641358641358,0.5055435198164904,0.9907592407592407,0.6694793688296347,0.07740241093029272,0.021728271728271742,124,3880,37,3967
