iteration,static_mahalanobis,mobile_mahalanobis,static_lda_ratio,mobile_lda_ratio
0,2.2596119007092583,2.426359533206498,1.3083020466744022,1.4789641155913773
1,2.2537123163303896,2.4390435781478303,1.299481360056345,1.4931226156301087
2,2.251134930682367,2.4311064375321814,1.2957326970604321,1.484258603760418
3,2.2545724013351083,2.4507369735761415,1.3056310186713647,1.5087083927409024
4,2.2321981524196217,2.432172775984944,1.2763619186189061,1.4869929847473324
5,2.2341004586890536,2.4225130251106513,1.2769552233476789,1.4748732120288217
6,2.254819052775347,2.4206330709131887,1.304277329221385,1.4726993881567911
7,2.2405303523348996,2.397492547107373,1.2863630650686544,1.4441524547424247
8,2.2186472958767505,2.4352313906022163,1.2599425610075266,1.4892146975668017
9,2.278579946548851,2.4003266177142804,1.3280874112801504,1.4476990218187376
10,2.2328481224283077,2.465256438946076,1.2755856614768324,1.525393588946199
11,2.23709577662983,2.4287520616249147,1.2777804553610381,1.4816607802025892
12,2.2371947858616528,2.4129442733369606,1.2803778760368836,1.4617394867440747
13,2.2425564564356213,2.4103753945085225,1.2819553768383642,1.4599139399227188
14,2.2488318019985,2.40603759381005,1.2979945101194894,1.4547081004563573
15,2.214707019726358,2.3896165076528364,1.2553628450795522,1.4348129448304312
16,2.23605191028414,2.409802977613466,1.2764287122610838,1.4576803640774123
17,2.2190483956808102,2.4018985959979067,1.2587931894834596,1.4507678156616945
18,2.2541026477220574,2.4106964023358866,1.2956949552492403,1.4599336298523984
19,2.2289126409219304,2.4289972907393027,1.2763604464747529,1.4828480103562582
20,2.243187464574142,2.4406133224615894,1.286132442277746,1.4966258181279595
21,2.2525935505406784,2.418165067275014,1.2960104469517548,1.4687814452102417
22,2.255467947980663,2.4282555480308194,1.3011503922447114,1.4805732656982262
23,2.2386949582932316,2.4690128090177925,1.2821621484014907,1.5304287506178043
24,2.2515374292762624,2.436317208313935,1.29195920817249,1.4915577238937625
25,2.233726838908765,2.4041146858421,1.2759236307587434,1.4521222416806958
26,2.246403522650512,2.438580121226949,1.2904523023656544,1.493143472602041
27,2.2576256938842802,2.4540748455902763,1.3036408986460861,1.5134844425855605
28,2.2572252507787343,2.416787102130953,1.3023839880887909,1.468445817210882
29,2.248482312967349,2.41764500642979,1.294548765959744,1.4676985707219437
30,2.267000835585784,2.428262833858464,1.3125717597001982,1.4819985147214463
31,2.2323149134926936,2.418369726433845,1.2770585827973266,1.468043804830406
32,2.2545095802290573,2.4335738027802054,1.2975905501810356,1.4887105916046925
33,2.254542087919387,2.427903129214172,1.2966159832504311,1.4836320069650741
34,2.2126435360269783,2.4303139333430854,1.251768364731165,1.483381024349235
35,2.269285986005556,2.40405795181999,1.3173937771477573,1.4516478682656382
36,2.227468940882746,2.43768406366763,1.267118129771846,1.4915699125598563
37,2.238124541024344,2.4018868695420066,1.2810535324579073,1.4495224954883823
38,2.256366381238306,2.4397742643576326,1.3000112944449003,1.4946781217714833
39,2.263382821521648,2.4110286269687053,1.3037781135181918,1.4592595693284212
40,2.2462371140711817,2.4467988777084186,1.2865066837843768,1.5037153499539022
41,2.2479069519764643,2.4115167854551225,1.2912242208157991,1.4611176534859158
42,2.263244218994055,2.4216435481881327,1.306844115630623,1.4727458860529437
43,2.2386347556480777,2.4216678915435734,1.2776537021456786,1.473044323161703
44,2.2471094035034334,2.4226687569350513,1.286907825162928,1.4741183315597186
45,2.238122368049373,2.4078670623890233,1.2877072210262546,1.4560056591857178
46,2.236741676871765,2.4273534126802176,1.2822652217882409,1.4807223223456227
47,2.235831684546178,2.4279548086044445,1.278147270861344,1.4807743367944848
48,2.2503988255888956,2.4155710402534627,1.2910489264890372,1.4670412075331585
