Model,Threshold,AUC,Accuracy,Precision,Recall,F1,MCC,Kappa,TN,FP,FN,TP
Stacking_Ensemble,0.5,0.9324637650062225,0.8834915084915085,0.9563150074294205,0.8036963036963037,0.87338851947347,0.7769408212763448,0.766983016983017,3857,147,786,3218
XGB_conservative,0.5399999999999998,0.9370455343856942,0.8737512487512488,0.94980462879471,0.7892107892107892,0.862092483972173,0.7584221283376549,0.7475024975024975,3837,167,844,3160
Bagging_RF,0.5499999999999998,0.9368769654421502,0.8732517482517482,0.9483948394839484,0.7894605394605395,0.8616600790513834,0.7572119350165845,0.7465034965034965,3832,172,843,3161
RandomForest,0.47999999999999976,0.9375881673271782,0.8732517482517482,0.9263908701854494,0.810939060939061,0.8648288720202424,0.7523690649230095,0.7465034965034965,3746,258,757,3247
CatBoost_balanced,0.5899999999999997,0.9354199434431703,0.8727522477522478,0.9616455304670585,0.7764735264735265,0.8591957993643775,0.7597221615163853,0.7455044955044955,3880,124,895,3109
CatBoost_deep,0.5799999999999997,0.9378226044684586,0.8725024975024975,0.9565350474441383,0.7804695304695305,0.8595791500481365,0.7579554995833222,0.7450049950049951,3862,142,879,3125
GradientBoosting,0.5899999999999997,0.9351130887094923,0.8721278721278721,0.9593094944512947,0.7772227772227772,0.8587196467991169,0.7580362332538155,0.7442557442557443,3872,132,892,3112
AdaBoost,0.5299999999999998,0.9381489826357459,0.8716283716283716,0.9363636363636364,0.7974525474525475,0.8613434043701106,0.751573145507715,0.7432567432567432,3787,217,811,3193
ExtraTrees,0.5199999999999998,0.9359480117784313,0.8698801198801199,0.9275404157043879,0.8024475524475524,0.8604713444027852,0.74658103084301,0.7397602397602397,3753,251,791,3213
XGB_balanced,0.6199999999999998,0.9317373435755054,0.8697552447552448,0.9716470213443772,0.7617382617382618,0.8539829203415932,0.7573957472894867,0.7395104895104896,3915,89,954,3050
LGBM_deep,0.6399999999999997,0.9337323515645196,0.8692557442557443,0.9713101689512272,0.760989010989011,0.8533818792886151,0.7564583139192188,0.7385114885114885,3914,90,957,3047
LGBM_balanced,0.6599999999999997,0.9322985331351965,0.8665084915084915,0.973539851565021,0.7534965034965035,0.8495002111783754,0.752490118760425,0.733016983016983,3922,82,987,3017
LogisticRegression,0.5499999999999998,0.9292074683558201,0.8638861138861139,0.9519230769230769,0.7664835164835165,0.8491975650249032,0.7419872547319922,0.7277722277722278,3849,155,935,3069
Ridge,0.5,0.9242456781480258,0.8632617382617382,0.9317304838230929,0.7839660339660339,0.8514851485148515,0.735835996751793,0.7265234765234765,3774,230,865,3139
Bagging_ET,0.5499999999999998,0.9302591452004539,0.8571428571428571,0.9378444580526638,0.764985014985015,0.8426409903713893,0.7267368265250327,0.7142857142857143,3801,203,941,3063
SVM_rbf,0.5699999999999997,0.8985193440425708,0.8190559440559441,0.9080166081124241,0.7100399600399601,0.796916608269096,0.6538422687593235,0.6381118881118881,3716,288,1161,2843
