run_id,seed,worker_id,result,reason,timestamp
3641,9,8,REJECT,connectivity_failed,2026-04-24 12:29:45
911,3,2,REJECT,connectivity_failed,2026-04-24 12:29:46
2731,7,6,REJECT,connectivity_failed,2026-04-24 12:29:47
5461,13,12,REJECT,connectivity_failed,2026-04-24 12:29:49
8191,19,18,REJECT,connectivity_failed,2026-04-24 12:29:49
1366,4,3,REJECT,connectivity_failed,2026-04-24 12:29:49
9101,21,20,REJECT,connectivity_failed,2026-04-24 12:29:50
6371,15,14,REJECT,connectivity_failed,2026-04-24 12:29:50
3641,31,8,REJECT,connectivity_failed,2026-04-24 12:29:51
9101,43,20,REJECT,connectivity_failed,2026-04-24 12:29:57
3641,53,8,REJECT,connectivity_failed,2026-04-24 12:29:57
6371,37,14,REJECT,connectivity_failed,2026-04-24 12:29:59
1366,26,3,REJECT,neighbor_abort,2026-04-24 12:30:00
9101,65,20,REJECT,connectivity_failed,2026-04-24 12:30:03
1366,48,3,REJECT,connectivity_failed,2026-04-24 12:30:04
9101,87,20,REJECT,connectivity_failed,2026-04-24 12:30:11
1366,70,3,REJECT,connectivity_failed,2026-04-24 12:30:11
1366,92,3,REJECT,connectivity_failed,2026-04-24 12:30:16
8646,20,19,ACCEPT,outputs_ok,2026-04-24 12:30:32
8647,42,19,REJECT,connectivity_failed,2026-04-24 12:30:38
5916,14,13,ACCEPT,outputs_ok,2026-04-24 12:30:44
8647,64,19,REJECT,connectivity_failed,2026-04-24 12:30:45
7281,17,16,ACCEPT,outputs_ok,2026-04-24 12:30:51
8647,86,19,REJECT,connectivity_failed,2026-04-24 12:30:51
5006,12,11,ACCEPT,outputs_ok,2026-04-24 12:30:52
6826,16,15,ACCEPT,outputs_ok,2026-04-24 12:30:52
1821,5,4,ACCEPT,outputs_ok,2026-04-24 12:30:54
4096,10,9,ACCEPT,outputs_ok,2026-04-24 12:30:55
6371,59,14,ACCEPT,outputs_ok,2026-04-24 12:30:57
911,25,2,ACCEPT,outputs_ok,2026-04-24 12:30:57
8647,108,19,REJECT,connectivity_failed,2026-04-24 12:30:58
1822,27,4,REJECT,connectivity_failed,2026-04-24 12:30:59
5007,34,11,REJECT,connectivity_failed,2026-04-24 12:31:01
7736,18,17,ACCEPT,outputs_ok,2026-04-24 12:31:03
912,47,2,REJECT,connectivity_failed,2026-04-24 12:31:04
3186,8,7,ACCEPT,outputs_ok,2026-04-24 12:31:04
9556,22,21,ACCEPT,outputs_ok,2026-04-24 12:31:05
1822,49,4,REJECT,connectivity_failed,2026-04-24 12:31:06
1,1,0,ACCEPT,outputs_ok,2026-04-24 12:31:07
2276,6,5,ACCEPT,outputs_ok,2026-04-24 12:31:08
2731,29,6,ACCEPT,outputs_ok,2026-04-24 12:31:09
456,2,1,ACCEPT,outputs_ok,2026-04-24 12:31:10
8191,41,18,ACCEPT,outputs_ok,2026-04-24 12:31:10
9101,109,20,ACCEPT,outputs_ok,2026-04-24 12:31:11
1822,71,4,REJECT,connectivity_failed,2026-04-24 12:31:12
5461,35,12,ACCEPT,outputs_ok,2026-04-24 12:31:16
2732,51,6,REJECT,connectivity_failed,2026-04-24 12:31:17
457,24,1,REJECT,connectivity_failed,2026-04-24 12:31:18
9102,131,20,REJECT,connectivity_failed,2026-04-24 12:31:18
1822,93,4,REJECT,connectivity_failed,2026-04-24 12:31:19
3641,75,8,ACCEPT,outputs_ok,2026-04-24 12:31:23
9102,153,20,REJECT,connectivity_failed,2026-04-24 12:31:24
4551,11,10,ACCEPT,outputs_ok,2026-04-24 12:31:25
457,46,1,REJECT,connectivity_failed,2026-04-24 12:31:25
2732,73,6,REJECT,neighbor_abort,2026-04-24 12:31:26
457,68,1,REJECT,connectivity_failed,2026-04-24 12:31:29
3642,97,8,REJECT,connectivity_failed,2026-04-24 12:31:30
9102,175,20,REJECT,connectivity_failed,2026-04-24 12:31:30
1366,114,3,ACCEPT,outputs_ok,2026-04-24 12:31:32
2732,95,6,REJECT,connectivity_failed,2026-04-24 12:31:32
9102,197,20,REJECT,connectivity_failed,2026-04-24 12:31:38
3642,119,8,REJECT,neighbor_abort,2026-04-24 12:31:38
9102,219,20,REJECT,connectivity_failed,2026-04-24 12:31:46
7282,39,16,ACCEPT,outputs_ok,2026-04-24 12:31:56
8647,130,19,ACCEPT,outputs_ok,2026-04-24 12:32:01
6372,81,14,ACCEPT,outputs_ok,2026-04-24 12:32:02
5917,36,13,ACCEPT,outputs_ok,2026-04-24 12:32:02
7283,61,16,REJECT,connectivity_failed,2026-04-24 12:32:03
8648,152,19,REJECT,connectivity_failed,2026-04-24 12:32:10
6373,103,14,REJECT,neighbor_abort,2026-04-24 12:32:10
5918,58,13,REJECT,connectivity_failed,2026-04-24 12:32:11
912,69,2,ACCEPT,outputs_ok,2026-04-24 12:32:17
8648,174,19,REJECT,neighbor_abort,2026-04-24 12:32:17
9557,44,21,ACCEPT,outputs_ok,2026-04-24 12:32:18
4097,32,9,ACCEPT,outputs_ok,2026-04-24 12:32:21
2277,28,5,ACCEPT,outputs_ok,2026-04-24 12:32:22
913,91,2,REJECT,connectivity_failed,2026-04-24 12:32:24
5007,56,11,ACCEPT,outputs_ok,2026-04-24 12:32:26
2278,50,5,REJECT,connectivity_failed,2026-04-24 12:32:27
4098,54,9,REJECT,neighbor_abort,2026-04-24 12:32:30
2732,117,6,ACCEPT,outputs_ok,2026-04-24 12:32:31
2278,72,5,REJECT,connectivity_failed,2026-04-24 12:32:35
457,90,1,ACCEPT,outputs_ok,2026-04-24 12:32:36
5462,57,12,ACCEPT,outputs_ok,2026-04-24 12:32:37
8192,63,18,ACCEPT,outputs_ok,2026-04-24 12:32:39
2,23,0,ACCEPT,outputs_ok,2026-04-24 12:32:42
8193,85,18,REJECT,connectivity_failed,2026-04-24 12:32:43
7737,40,17,ACCEPT,outputs_ok,2026-04-24 12:32:43
2278,94,5,REJECT,connectivity_failed,2026-04-24 12:32:44
5463,79,12,REJECT,connectivity_failed,2026-04-24 12:32:45
3,45,0,REJECT,connectivity_failed,2026-04-24 12:32:46
4552,33,10,ACCEPT,outputs_ok,2026-04-24 12:32:47
1822,115,4,ACCEPT,outputs_ok,2026-04-24 12:32:49
6827,38,15,ACCEPT,outputs_ok,2026-04-24 12:32:50
3187,30,7,ACCEPT,outputs_ok,2026-04-24 12:32:52
5463,101,12,REJECT,connectivity_failed,2026-04-24 12:32:53
4553,55,10,REJECT,connectivity_failed,2026-04-24 12:32:53
1823,137,4,REJECT,connectivity_failed,2026-04-24 12:32:55
5463,123,12,REJECT,connectivity_failed,2026-04-24 12:32:58
1367,136,3,ACCEPT,outputs_ok,2026-04-24 12:33:00
1823,159,4,REJECT,connectivity_failed,2026-04-24 12:33:02
7283,83,16,ACCEPT,outputs_ok,2026-04-24 12:33:05
3642,141,8,ACCEPT,outputs_ok,2026-04-24 12:33:09
6373,125,14,ACCEPT,outputs_ok,2026-04-24 12:33:21
913,113,2,ACCEPT,outputs_ok,2026-04-24 12:33:34
7738,62,17,ACCEPT,outputs_ok,2026-04-24 12:33:35
914,135,2,REJECT,connectivity_failed,2026-04-24 12:33:40
5918,80,13,ACCEPT,outputs_ok,2026-04-24 12:33:41
7739,84,17,REJECT,connectivity_failed,2026-04-24 12:33:43
4553,77,10,ACCEPT,outputs_ok,2026-04-24 12:33:45
5008,78,11,ACCEPT,outputs_ok,2026-04-24 12:33:45
5919,102,13,REJECT,connectivity_failed,2026-04-24 12:33:48
4098,76,9,ACCEPT,outputs_ok,2026-04-24 12:33:48
2733,139,6,ACCEPT,outputs_ok,2026-04-24 12:33:49
2278,116,5,ACCEPT,outputs_ok,2026-04-24 12:33:49
7739,106,17,REJECT,connectivity_failed,2026-04-24 12:33:49
8193,107,18,ACCEPT,outputs_ok,2026-04-24 12:33:50
4554,99,10,REJECT,connectivity_failed,2026-04-24 12:33:52
9102,241,20,ACCEPT,outputs_ok,2026-04-24 12:33:53
458,112,1,ACCEPT,outputs_ok,2026-04-24 12:33:53
5009,100,11,REJECT,connectivity_failed,2026-04-24 12:33:54
2279,138,5,REJECT,neighbor_abort,2026-04-24 12:33:56
5919,124,13,REJECT,connectivity_failed,2026-04-24 12:33:56
8648,196,19,ACCEPT,outputs_ok,2026-04-24 12:33:57
4099,98,9,REJECT,connectivity_failed,2026-04-24 12:33:57
459,134,1,REJECT,connectivity_failed,2026-04-24 12:33:59
9103,263,20,REJECT,connectivity_failed,2026-04-24 12:34:01
5009,122,11,REJECT,connectivity_failed,2026-04-24 12:34:01
1823,181,4,ACCEPT,outputs_ok,2026-04-24 12:34:02
3,67,0,ACCEPT,outputs_ok,2026-04-24 12:34:04
1824,203,4,REJECT,connectivity_failed,2026-04-24 12:34:06
1368,158,3,ACCEPT,outputs_ok,2026-04-24 12:34:08
4,89,0,REJECT,connectivity_failed,2026-04-24 12:34:08
9558,66,21,ACCEPT,outputs_ok,2026-04-24 12:34:09
5463,145,12,ACCEPT,outputs_ok,2026-04-24 12:34:09
6828,60,15,ACCEPT,outputs_ok,2026-04-24 12:34:14
5464,167,12,REJECT,connectivity_failed,2026-04-24 12:34:17
6374,147,14,ACCEPT,outputs_ok,2026-04-24 12:34:19
3643,163,8,ACCEPT,outputs_ok,2026-04-24 12:34:21
6829,82,15,REJECT,connectivity_failed,2026-04-24 12:34:22
7284,105,16,ACCEPT,outputs_ok,2026-04-24 12:34:24
3188,52,7,ACCEPT,outputs_ok,2026-04-24 12:34:25
6375,169,14,REJECT,connectivity_failed,2026-04-24 12:34:27
3644,185,8,REJECT,connectivity_failed,2026-04-24 12:34:28
914,157,2,ACCEPT,outputs_ok,2026-04-24 12:34:51
7739,128,17,ACCEPT,outputs_ok,2026-04-24 12:34:57
915,179,2,REJECT,connectivity_failed,2026-04-24 12:35:00
8194,129,18,ACCEPT,outputs_ok,2026-04-24 12:35:01
7740,150,17,REJECT,connectivity_failed,2026-04-24 12:35:05
915,201,2,REJECT,connectivity_failed,2026-04-24 12:35:06
1824,225,4,ACCEPT,outputs_ok,2026-04-24 12:35:06
5919,146,13,ACCEPT,outputs_ok,2026-04-24 12:35:07
1825,247,4,REJECT,connectivity_failed,2026-04-24 12:35:10
2734,161,6,ACCEPT,outputs_ok,2026-04-24 12:35:10
1369,180,3,ACCEPT,outputs_ok,2026-04-24 12:35:10
5920,168,13,REJECT,connectivity_failed,2026-04-24 12:35:13
9103,285,20,ACCEPT,outputs_ok,2026-04-24 12:35:14
1825,269,4,REJECT,connectivity_failed,2026-04-24 12:35:14
4554,121,10,ACCEPT,outputs_ok,2026-04-24 12:35:15
2735,183,6,REJECT,connectivity_failed,2026-04-24 12:35:16
459,156,1,ACCEPT,outputs_ok,2026-04-24 12:35:16
8649,218,19,ACCEPT,outputs_ok,2026-04-24 12:35:18
5009,144,11,ACCEPT,outputs_ok,2026-04-24 12:35:19
1825,291,4,REJECT,connectivity_failed,2026-04-24 12:35:21
2279,160,5,ACCEPT,outputs_ok,2026-04-24 12:35:21
5920,190,13,REJECT,connectivity_failed,2026-04-24 12:35:22
9104,307,20,REJECT,connectivity_failed,2026-04-24 12:35:24
460,178,1,REJECT,neighbor_abort,2026-04-24 12:35:25
5464,189,12,ACCEPT,outputs_ok,2026-04-24 12:35:26
8650,240,19,REJECT,connectivity_failed,2026-04-24 12:35:26
5010,166,11,REJECT,connectivity_failed,2026-04-24 12:35:27
5920,212,13,REJECT,connectivity_failed,2026-04-24 12:35:29
2280,182,5,REJECT,connectivity_failed,2026-04-24 12:35:30
3189,74,7,ACCEPT,outputs_ok,2026-04-24 12:35:30
9104,329,20,REJECT,connectivity_failed,2026-04-24 12:35:30
460,200,1,REJECT,connectivity_failed,2026-04-24 12:35:31
5010,188,11,REJECT,connectivity_failed,2026-04-24 12:35:32
4099,120,9,ACCEPT,outputs_ok,2026-04-24 12:35:33
8650,262,19,REJECT,neighbor_abort,2026-04-24 12:35:34
5465,211,12,REJECT,connectivity_failed,2026-04-24 12:35:34
2280,204,5,REJECT,connectivity_failed,2026-04-24 12:35:37
5920,234,13,REJECT,connectivity_failed,2026-04-24 12:35:38
4100,142,9,REJECT,connectivity_failed,2026-04-24 12:35:39
5010,210,11,REJECT,connectivity_failed,2026-04-24 12:35:40
9559,88,21,ACCEPT,outputs_ok,2026-04-24 12:35:41
6829,104,15,ACCEPT,outputs_ok,2026-04-24 12:35:42
5465,233,12,REJECT,connectivity_failed,2026-04-24 12:35:42
7285,127,16,ACCEPT,outputs_ok,2026-04-24 12:35:42
5465,255,12,REJECT,connectivity_failed,2026-04-24 12:35:48
3644,207,8,ACCEPT,outputs_ok,2026-04-24 12:35:48
4100,164,9,REJECT,connectivity_failed,2026-04-24 12:35:48
9560,110,21,REJECT,neighbor_abort,2026-04-24 12:35:52
6375,191,14,ACCEPT,outputs_ok,2026-04-24 12:35:53
3645,229,8,REJECT,connectivity_failed,2026-04-24 12:35:55
9560,132,21,REJECT,connectivity_failed,2026-04-24 12:36:00
4,111,0,ACCEPT,outputs_ok,2026-04-24 12:36:17
1370,202,3,ACCEPT,outputs_ok,2026-04-24 12:36:17
8195,151,18,ACCEPT,outputs_ok,2026-04-24 12:36:19
2735,205,6,ACCEPT,outputs_ok,2026-04-24 12:36:21
4555,143,10,ACCEPT,outputs_ok,2026-04-24 12:36:22
7740,172,17,ACCEPT,outputs_ok,2026-04-24 12:36:22
915,223,2,ACCEPT,outputs_ok,2026-04-24 12:36:27
7741,194,17,REJECT,connectivity_failed,2026-04-24 12:36:29
460,222,1,ACCEPT,outputs_ok,2026-04-24 12:36:33
1825,313,4,ACCEPT,outputs_ok,2026-04-24 12:36:38
2280,226,5,ACCEPT,outputs_ok,2026-04-24 12:36:43
8650,284,19,ACCEPT,outputs_ok,2026-04-24 12:36:45
5010,232,11,ACCEPT,outputs_ok,2026-04-24 12:36:47
8651,306,19,REJECT,connectivity_failed,2026-04-24 12:36:49
9104,351,20,ACCEPT,outputs_ok,2026-04-24 12:36:50
4100,186,9,ACCEPT,outputs_ok,2026-04-24 12:36:52
6830,126,15,ACCEPT,outputs_ok,2026-04-24 12:37:00
3190,96,7,ACCEPT,outputs_ok,2026-04-24 12:37:02
9560,154,21,ACCEPT,outputs_ok,2026-04-24 12:37:05
6831,148,15,REJECT,connectivity_failed,2026-04-24 12:37:06
7286,149,16,ACCEPT,outputs_ok,2026-04-24 12:37:09
6831,170,15,REJECT,connectivity_failed,2026-04-24 12:37:13
6376,213,14,ACCEPT,outputs_ok,2026-04-24 12:37:14
6831,192,15,REJECT,neighbor_abort,2026-04-24 12:37:22
5465,277,12,ACCEPT,outputs_ok,2026-04-24 12:37:22
2736,227,6,ACCEPT,outputs_ok,2026-04-24 12:37:24
5,133,0,ACCEPT,outputs_ok,2026-04-24 12:37:29
