seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
14,5916,1,5.920000,2.496718,1.000000,12.000000,31.400000,18.208789,28.000000,9.165151,0,0,64.440944
3,911,1,7.880000,3.166323,0.000000,14.000000,54.960000,29.632388,39.040000,13.512898,15,0,63.542375
9,3641,1,6.780000,3.138726,2.000000,13.000000,41.560000,30.864322,49.000000,0.000000,50,0,63.150223
20,8646,1,5.600000,1.743560,2.000000,10.000000,25.000000,11.551623,48.920000,0.271293,46,0,63.951237
16,6826,1,5.600000,1.788854,1.000000,10.000000,22.500000,9.024965,49.000000,0.000000,50,0,71.265572
4,1366,1,7.120000,3.210234,1.000000,14.000000,41.780000,25.752895,31.120000,13.016359,0,0,63.498795
7,2731,1,6.040000,2.217747,1.000000,11.000000,30.880000,17.797348,49.000000,0.000000,50,0,67.333312
8,3186,1,6.100000,1.931321,2.000000,10.000000,29.440000,13.382317,48.980000,0.140000,49,0,76.259212
6,2276,1,6.020000,2.485880,1.000000,12.000000,29.980000,17.258609,49.000000,0.000000,50,0,64.432627
19,8191,1,6.260000,2.733569,1.000000,12.000000,35.400000,22.741152,47.120000,6.304411,1,0,68.649660
17,7281,1,6.440000,2.290502,2.000000,13.000000,32.660000,16.002012,48.940000,0.420000,49,0,64.080901
5,1821,1,6.280000,2.569358,1.000000,12.000000,32.520000,18.919027,49.000000,0.000000,50,0,70.152100
12,5006,1,6.140000,1.980000,1.000000,10.000000,30.260000,12.559952,49.000000,0.000000,50,0,71.019072
11,4551,1,7.420000,2.585266,1.000000,12.000000,45.020000,24.833437,45.120000,9.010305,0,0,54.423000
15,6371,1,6.640000,3.309139,1.000000,14.000000,41.400000,31.480152,42.220000,12.161069,0,1,63.796498
1,1,1,6.380000,1.906725,3.000000,10.000000,30.580000,13.419523,49.000000,0.000000,50,0,70.138990
10,4096,1,7.320000,3.319277,1.000000,14.000000,45.280000,33.888665,49.000000,0.000000,50,0,59.355006
22,9556,1,6.280000,2.358304,2.000000,10.000000,33.760000,21.882011,49.000000,0.000000,50,0,75.284307
13,5461,1,6.700000,3.366007,1.000000,14.000000,42.860000,33.764484,45.160000,9.014122,0,0,68.696419
18,7736,1,6.600000,2.946184,0.000000,13.000000,40.240000,27.809035,47.040000,6.720000,0,0,64.455550
2,456,1,7.560000,3.262882,2.000000,14.000000,48.700000,34.754712,49.000000,0.000000,50,0,58.614294
21,9101,1,7.380000,3.334007,0.000000,14.000000,46.000000,29.962643,47.040000,6.720000,0,1,75.883971
25,911,1,7.080000,3.025492,1.000000,12.000000,46.800000,30.747358,48.100000,0.300000,5,0,58.025235
42,8646,1,6.920000,3.058366,2.000000,14.000000,42.020000,24.597959,49.000000,0.000000,50,0,64.310746
36,5916,1,6.360000,2.930938,0.000000,14.000000,36.240000,27.050738,47.040000,6.720000,0,0,67.936117
39,7281,1,5.760000,2.005592,2.000000,11.000000,25.160000,14.863862,48.760000,0.949947,47,0,61.025106
41,8191,1,6.720000,2.713227,1.000000,12.000000,36.160000,23.516258,49.000000,0.000000,50,0,62.880085
33,4551,1,7.240000,2.976978,1.000000,13.000000,45.960000,28.105487,48.980000,0.140000,49,0,65.326013
43,9101,1,6.820000,2.797785,3.000000,11.000000,36.360000,23.071853,32.000000,14.000000,0,0,57.624963
37,6371,1,7.480000,3.312039,0.000000,14.000000,47.880000,32.619405,45.120000,9.210081,0,0,70.408960
30,3186,1,7.600000,3.200000,1.000000,14.000000,48.560000,30.223276,47.040000,6.720000,0,0,66.540438
26,1366,1,9.380000,4.507283,1.000000,17.000000,82.760000,57.405421,49.000000,0.000000,50,1,55.135366
35,5461,1,7.420000,2.857201,0.000000,12.000000,45.260000,22.354248,47.040000,6.720000,0,0,62.857964
40,7736,1,7.780000,2.934553,1.000000,14.000000,52.420000,30.450675,49.000000,0.000000,50,0,68.822179
47,911,1,5.840000,2.248199,2.000000,10.000000,27.940000,16.531679,35.260000,11.059494,0,0,56.556441
61,7281,1,7.280000,2.705846,0.000000,12.000000,45.500000,21.637236,47.040000,6.720000,0,0,63.651190
48,1366,1,5.960000,2.720000,1.000000,13.000000,31.280000,23.258581,28.720000,9.941911,0,0,56.339256
59,6371,1,5.800000,2.236068,1.000000,9.000000,25.560000,12.385734,42.680000,4.606257,0,0,57.941155
58,5916,1,7.980000,3.277133,0.000000,13.000000,59.460000,31.358705,43.280000,10.766689,0,0,59.353839
55,4551,1,5.480000,1.992386,2.000000,9.000000,23.340000,11.787468,48.980000,0.140000,49,0,68.151560
65,9101,1,5.900000,2.128380,0.000000,11.000000,28.460000,15.584877,47.040000,6.720000,0,1,65.236038
