seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
9,3641,0,6.480000,3.074020,2.000000,13.000000,44.960000,32.610403,24.000000,0.000000,0,0,61.979302
3,911,0,7.400000,3.143247,1.000000,14.000000,57.240000,31.659792,24.160000,1.993590,0,0,62.057718
20,8646,0,5.320000,1.462053,3.000000,9.000000,25.120000,9.636680,49.000000,0.000000,50,0,62.498739
7,2731,0,5.360000,2.142522,0.000000,10.000000,27.960000,16.731957,47.040000,6.720000,0,0,62.858376
17,7281,0,5.640000,2.027412,2.000000,11.000000,30.280000,16.291151,49.000000,0.000000,50,0,63.229234
12,5006,0,5.560000,1.768163,1.000000,9.000000,28.480000,11.729007,49.000000,0.000000,50,0,69.502479
5,1821,0,5.800000,2.227106,1.000000,11.000000,32.800000,18.329212,49.000000,0.000000,50,0,68.877044
16,6826,0,5.440000,1.845644,1.000000,10.000000,27.560000,13.947272,49.000000,0.000000,50,0,69.294916
18,7736,0,5.800000,2.638181,1.000000,11.000000,34.800000,26.688574,49.000000,0.000000,50,0,65.643130
13,5461,0,6.200000,3.124100,1.000000,13.000000,42.000000,33.930517,45.160000,9.014122,0,0,67.583661
22,9556,0,5.720000,2.059515,2.000000,10.000000,31.240000,18.660718,49.000000,0.000000,50,0,74.350783
14,5916,0,5.320000,2.222071,1.000000,11.000000,27.920000,16.885307,49.000000,0.000000,50,0,66.880584
19,8191,0,5.800000,2.653300,0.000000,12.000000,34.880000,23.178990,47.040000,6.720000,0,0,72.474899
4,1366,0,6.320000,2.894408,1.000000,13.000000,42.000000,30.308415,45.160000,9.014122,0,0,69.126124
10,4096,0,6.880000,3.259693,1.000000,13.000000,51.080000,41.097367,49.000000,0.000000,50,0,63.723010
11,4551,0,6.720000,2.358304,1.000000,11.000000,44.000000,22.352628,49.000000,0.000000,50,0,53.669025
8,3186,0,5.760000,1.772682,2.000000,9.000000,30.560000,12.350158,49.000000,0.000000,50,0,77.219777
6,2276,0,5.520000,2.247132,1.000000,11.000000,30.000000,17.560182,49.000000,0.000000,50,0,67.283878
1,1,0,5.640000,1.819450,3.000000,9.000000,29.480000,13.038773,49.000000,0.000000,50,0,69.848740
21,9101,0,6.640000,3.154425,0.000000,13.000000,47.400000,32.121021,47.040000,6.720000,0,1,73.678375
15,6371,0,6.120000,2.970791,1.000000,12.000000,40.160000,29.141970,45.160000,9.014122,0,1,71.009271
2,456,0,6.720000,2.912319,2.000000,12.000000,46.920000,33.263698,49.000000,0.000000,50,0,60.991881
31,3641,0,6.560000,3.150619,0.000000,13.000000,46.400000,32.338213,35.280000,13.130179,0,0,59.638156
25,911,0,6.560000,2.829558,2.000000,12.000000,44.480000,30.385681,49.000000,0.000000,50,0,58.085486
29,2731,0,5.680000,2.213052,1.000000,10.000000,31.480000,16.922458,49.000000,0.000000,50,0,61.476686
43,9101,0,6.040000,2.407987,2.000000,11.000000,36.240000,20.743732,40.000000,12.000000,0,0,62.139219
41,8191,0,5.840000,2.625719,1.000000,10.000000,35.160000,23.384918,49.000000,0.000000,50,0,61.449108
35,5461,0,6.680000,2.572470,1.000000,10.000000,44.560000,21.733072,49.000000,0.000000,50,0,63.092744
53,3641,0,5.960000,1.832594,1.000000,9.000000,32.920000,12.572732,45.160000,9.014122,0,0,56.353551
37,6371,0,6.920000,3.142229,0.000000,13.000000,50.840000,36.524709,47.040000,6.720000,0,0,71.450540
26,1366,0,8.400000,3.682391,1.000000,16.000000,75.720000,44.930631,49.000000,0.000000,50,1,56.843694
65,9101,0,5.360000,1.884251,0.000000,9.000000,26.920000,14.397000,47.040000,6.720000,0,1,61.405673
48,1366,0,5.640000,2.605840,2.000000,11.000000,32.960000,25.544440,29.760000,10.527222,0,0,57.283674
75,3641,0,6.760000,3.017018,1.000000,14.000000,48.040000,33.597595,49.000000,0.000000,50,0,61.836584
59,6371,0,5.680000,2.130164,1.000000,9.000000,31.120000,15.287433,49.000000,0.000000,50,0,64.399993
87,9101,0,6.640000,3.018344,0.000000,12.000000,46.560000,28.875706,41.520000,11.803796,0,0,66.964904
70,1366,0,6.040000,2.144388,0.000000,11.000000,35.040000,16.943388,47.040000,6.720000,0,0,62.440236
92,1366,0,5.960000,2.332038,1.000000,11.000000,35.000000,20.349939,28.320000,13.009904,0,1,63.198237
109,9101,0,4.920000,1.863760,2.000000,11.000000,22.760000,12.821170,49.000000,0.000000,50,0,75.244762
114,1366,0,5.880000,2.045874,1.000000,11.000000,32.880000,17.587086,49.000000,0.000000,50,0,63.059561
42,8647,0,6.360000,2.733203,1.000000,12.000000,41.560000,27.980107,36.960000,12.491533,0,0,57.068329
64,8647,0,6.400000,2.952965,0.000000,12.000000,43.280000,30.967105,43.280000,10.766689,0,0,62.551810
86,8647,0,5.840000,2.452427,1.000000,11.000000,34.280000,22.789506,41.640000,11.394314,0,0,61.239118
36,5917,0,5.680000,2.618702,1.000000,12.000000,33.440000,25.183455,49.000000,0.000000,50,0,73.680057
108,8647,0,6.240000,3.017018,0.000000,12.000000,41.800000,30.954160,38.240000,12.900481,0,0,69.206698
39,7282,0,5.280000,1.811519,2.000000,10.000000,25.880000,14.448031,49.000000,0.000000,50,0,61.111466
27,1822,0,5.080000,2.086528,1.000000,9.000000,25.080000,14.550381,41.480000,11.936901,0,0,60.756192
34,5007,0,5.920000,2.910945,0.000000,12.000000,37.600000,28.313248,47.040000,6.720000,0,0,62.793906
38,6827,0,7.920000,3.393170,2.000000,14.000000,66.320000,38.200754,49.000000,0.000000,50,0,57.496609
32,4097,0,6.360000,2.295735,1.000000,10.000000,39.360000,19.658850,49.000000,0.000000,50,0,63.192816
47,912,0,5.520000,2.247132,2.000000,10.000000,30.000000,18.505134,43.360000,10.449421,0,0,57.242667
81,6372,0,6.240000,2.387970,1.000000,11.000000,38.400000,21.136698,49.000000,0.000000,50,0,68.249747
49,1822,0,6.000000,2.835489,1.000000,12.000000,38.040000,26.800716,41.640000,11.394314,0,0,62.261730
130,8647,0,6.480000,2.879167,1.000000,12.000000,43.800000,26.744719,49.000000,0.000000,50,0,63.314755
56,5007,0,6.080000,2.762897,1.000000,12.000000,38.520000,26.863537,49.000000,0.000000,50,0,66.553386
69,912,0,6.520000,2.109407,3.000000,12.000000,40.440000,19.941073,49.000000,0.000000,50,0,67.901460
71,1822,0,5.240000,1.849973,0.000000,10.000000,25.640000,12.751094,47.040000,6.720000,0,0,65.442937
40,7737,0,6.920000,2.528557,1.000000,13.000000,47.360000,26.055909,49.000000,0.000000,50,0,69.985885
44,9557,0,5.480000,2.765791,1.000000,11.000000,32.200000,26.868569,49.000000,0.000000,50,0,72.644671
30,3187,0,6.920000,2.945098,2.000000,13.000000,49.640000,32.104056,49.000000,0.000000,50,0,65.171597
23,2,0,6.040000,2.424541,1.000000,11.000000,36.320000,20.533329,49.000000,0.000000,50,0,67.217894
28,2277,0,6.320000,2.436719,2.000000,12.000000,39.560000,26.948217,49.000000,0.000000,50,0,70.893946
51,2732,0,6.280000,2.433434,0.000000,11.000000,39.080000,18.194329,47.040000,6.720000,0,0,70.043900
24,457,0,6.760000,2.983689,0.000000,14.000000,47.840000,32.313069,47.040000,6.720000,0,0,62.054690
131,9102,0,6.000000,2.340940,0.000000,10.000000,35.480000,16.769305,45.120000,9.210081,0,0,72.013229
93,1822,0,6.960000,2.340598,0.000000,10.000000,46.960000,19.476098,47.040000,6.720000,0,0,53.853887
63,8192,0,6.520000,3.305995,1.000000,14.000000,46.920000,37.218189,49.000000,0.000000,50,0,69.122691
153,9102,0,6.560000,2.736129,2.000000,12.000000,43.960000,27.575322,32.160000,13.704539,0,0,57.449015
57,5462,0,6.200000,2.374868,2.000000,11.000000,37.880000,20.362357,49.000000,0.000000,50,0,72.467700
46,457,0,6.480000,2.435077,0.000000,11.000000,41.440000,16.857236,43.240000,10.924395,0,0,65.541748
73,2732,0,5.880000,2.196725,1.000000,10.000000,33.520000,15.911304,49.000000,0.000000,50,1,65.622409
115,1822,0,5.560000,2.060679,2.000000,11.000000,29.600000,16.770212,49.000000,0.000000,50,0,77.701125
68,457,0,5.680000,2.587972,0.000000,11.000000,33.280000,23.868842,22.240000,4.941902,0,0,73.652144
97,3642,0,5.960000,3.261656,1.000000,13.000000,40.200000,36.213810,34.240000,12.293999,0,0,71.480608
175,9102,0,5.640000,2.007586,0.000000,9.000000,30.200000,12.746764,47.040000,6.720000,0,0,69.591401
95,2732,0,5.720000,2.828710,1.000000,12.000000,35.000000,28.524376,40.000000,12.000000,0,0,68.465590
33,4552,0,6.480000,2.393658,1.000000,12.000000,41.240000,23.623344,49.000000,0.000000,50,0,60.115433
90,457,0,6.680000,2.969444,2.000000,14.000000,46.760000,34.424735,49.000000,0.000000,50,0,59.677863
197,9102,0,5.880000,2.526974,1.000000,11.000000,35.080000,24.814383,40.000000,12.000000,0,0,67.233813
119,3642,0,5.760000,2.396331,1.000000,11.000000,33.160000,19.100115,49.000000,0.000000,50,1,61.542246
117,2732,0,7.200000,3.352611,1.000000,12.000000,55.880000,34.402116,49.000000,0.000000,50,0,64.714517
136,1367,0,6.000000,2.107131,1.000000,10.000000,34.440000,16.734587,49.000000,0.000000,50,0,74.368510
