seed,verdict,reason,seconds
39,reject,Assert_connectivity_failed,2
47,reject,Assert_connectivity_failed,3
38,reject,Assert_connectivity_failed,3
44,reject,Assert_connectivity_failed,3
27,reject,Assert_connectivity_failed,3
56,reject,Assert_connectivity_failed,3
4,reject,Assert_connectivity_failed,3
5,reject,Assert_connectivity_failed,3
55,reject,Assert_connectivity_failed,4
67,reject,Assert_connectivity_failed,3
81,reject,Assert_connectivity_failed,3
70,reject,Assert_connectivity_failed,3
1,reject,Attacker_not_available
Terminated,6
18,reject,Attacker_not_available
Terminated,7
80,reject,Assert_connectivity_failed,4
83,reject,Assert_connectivity_failed,4
90,reject,Assert_connectivity_failed,4
93,reject,Assert_connectivity_failed,4
96,reject,Assert_connectivity_failed,3
94,reject,Assert_connectivity_failed,5
108,reject,Assert_connectivity_failed,4
110,reject,Assert_connectivity_failed,4
129,reject,Assert_connectivity_failed,4
131,reject,Assert_connectivity_failed,4
58,reject,Attacker_not_available
Terminated,18
136,reject,Assert_connectivity_failed,4
143,reject,Assert_connectivity_failed,5
144,reject,Assert_connectivity_failed,4
145,reject,Assert_connectivity_failed,4
148,reject,Assert_connectivity_failed,3
59,accept,ok,36
24,accept,ok,36
166,reject,Assert_connectivity_failed,4
88,accept,ok,35
34,accept,ok,38
36,accept,ok,38
2,accept,ok,39
171,reject,Assert_connectivity_failed,4
111,accept,ok,33
12,accept,ok,41
185,reject,Assert_connectivity_failed,4
60,accept,ok,42
99,accept,ok,36
203,reject,Assert_connectivity_failed,4
132,accept,ok,32
50,accept,ok,44
53,accept,ok,44
205,reject,Assert_connectivity_failed,5
69,accept,ok,43
120,accept,ok,38
215,reject,Assert_connectivity_failed,4
45,accept,ok,46
220,reject,Assert_connectivity_failed,4
217,reject,Assert_connectivity_failed,4
134,accept,ok,33
223,reject,Assert_connectivity_failed,4
116,accept,ok,42
225,reject,Assert_connectivity_failed,3
127,accept,ok,41
237,reject,Assert_connectivity_failed,4
118,accept,ok,44
250,reject,Assert_connectivity_failed,4
229,reject,Attacker_not_available
Terminated,7
255,reject,Assert_connectivity_failed,4
258,reject,Assert_connectivity_failed,4
266,reject,Assert_connectivity_failed,4
260,reject,Attacker_not_available
Terminated,6
274,reject,Attacker_not_available
Terminated,8
221,reject,Attacker_not_available
Terminated,23
230,reject,Attacker_not_available
Terminated,22
170,accept,ok,34
142,accept,ok,53
188,accept,ok,37
279,reject,Attacker_not_available
Terminated,8
201,accept,ok,39
282,reject,Attacker_not_available
Terminated,7
209,accept,ok,36
211,accept,ok,36
285,reject,Attacker_not_available
Terminated,7
286,reject,Assert_connectivity_failed,4
254,accept,ok,33
309,reject,Assert_connectivity_failed,4
308,reject,Assert_connectivity_failed,4
189,accept,ok,44
315,reject,Assert_connectivity_failed,3
297,reject,Attacker_not_available
Terminated,7
317,reject,Assert_connectivity_failed,3
323,reject,Assert_connectivity_failed,3
222,accept,ok,41
327,reject,Assert_connectivity_failed,4
316,reject,Assert_connectivity_failed,4
325,reject,Assert_connectivity_failed,4
207,accept,ok,46
248,accept,ok,38
336,reject,Assert_connectivity_failed,3
333,reject,Assert_connectivity_failed,4
343,reject,Assert_connectivity_failed,3
344,reject,Assert_connectivity_failed,3
347,reject,Assert_connectivity_failed,4
212,accept,ok,48
231,accept,ok,45
234,accept,ok,44
359,reject,Assert_connectivity_failed,4
332,reject,Attacker_not_available
Terminated,7
363,reject,Assert_connectivity_failed,4
366,reject,Assert_connectivity_failed,4
367,reject,Assert_connectivity_failed,4
273,accept,ok,37
267,accept,ok,41
264,accept,ok,42
376,reject,Assert_connectivity_failed,3
271,accept,ok,41
370,reject,Assert_connectivity_failed,5
377,reject,Assert_connectivity_failed,3
240,accept,ok,49
378,reject,Assert_connectivity_failed,4
387,reject,Assert_connectivity_failed,3
386,reject,Assert_connectivity_failed,4
392,reject,Assert_connectivity_failed,3
398,reject,Attacker_not_available
Terminated,6
402,reject,Attacker_not_available
Terminated,7
415,reject,Assert_connectivity_failed,4
416,reject,Assert_connectivity_failed,4
278,accept,ok,38
276,accept,ok,41
423,reject,Assert_connectivity_failed,5
426,reject,Assert_connectivity_failed,3
428,reject,Assert_connectivity_failed,4
430,reject,Assert_connectivity_failed,4
431,reject,Assert_connectivity_failed,4
345,accept,ok,29
301,accept,ok,40
307,accept,ok,41
330,accept,ok,34
365,accept,ok,33
455,reject,Assert_connectivity_failed,3
290,accept,ok,47
355,accept,ok,38
459,reject,Assert_connectivity_failed,4
373,accept,ok,35
362,accept,ok,40
391,accept,ok,35
472,reject,Assert_connectivity_failed,3
383,accept,ok,39
474,reject,Assert_connectivity_failed,3
379,accept,ok,41
471,reject,Attacker_not_available
Terminated,8
408,accept,ok,41
479,reject,Assert_connectivity_failed,4
481,reject,Assert_connectivity_failed,4
486,reject,Assert_connectivity_failed,3
368,accept,ok,47
409,accept,ok,41
484,reject,Assert_connectivity_failed,4
492,reject,Assert_connectivity_failed,3
493,reject,Assert_connectivity_failed,4
