seed,run_id,source,hop_category
2,1000002,rerun,2
12,1000012,rerun,2
24,1,main,3
34,1000034,rerun,2
36,1000036,rerun,2
45,12,main,3
50,15,main,3
53,1000053,rerun,2
59,13,main,3
60,14,main,3
69,16,main,3
88,19,main,3
99,23,main,3
111,24,main,3
116,28,main,3
118,30,main,3
120,29,main,3
127,1000127,rerun,2
132,1000132,rerun,2
134,1000134,rerun,2
142,36,main,3
170,34,main,3
188,37,main,3
189,39,main,3
201,41,main,3
207,45,main,3
209,44,main,3
211,42,main,3
212,49,main,3
222,50,main,3
231,53,main,3
234,52,main,3
240,1000240,rerun,2
248,54,main,3
254,57,main,3
264,64,main,3
267,61,main,3
271,63,main,3
273,62,main,3
276,65,main,3
278,60,main,3
290,1000290,rerun,2
301,1000301,rerun,2
307,68,main,3
330,1000330,rerun,2
345,71,main,3
355,77,main,3
362,81,main,3
365,1000365,rerun,2
368,1000368,rerun,2
373,82,main,3
379,86,main,3
383,1000383,rerun,2
391,1000391,rerun,2
408,91,main,3
409,1000409,rerun,2
412,95,main,3
417,89,main,3
421,94,main,3
424,96,main,3
433,101,main,3
438,107,main,3
439,100,main,3
441,99,main,3
447,104,main,3
451,1000451,rerun,1
463,110,main,3
466,111,main,3
467,109,main,3
469,108,main,3
476,117,main,3
506,1000506,rerun,2
510,129,main,3
512,121,main,3
525,1000525,rerun,1
528,122,main,3
530,1000530,rerun,2
536,126,main,3
545,125,main,3
549,132,main,3
552,127,main,3
559,136,main,3
561,128,main,3
562,1000562,rerun,1
572,1000572,rerun,1
583,133,main,3
603,150,main,3
615,146,main,3
621,151,main,3
626,147,main,3
629,144,main,3
632,152,main,3
637,1000637,rerun,2
642,154,main,3
646,155,main,3
648,1000648,rerun,2
653,1000653,rerun,2
657,1000657,rerun,2
662,160,main,3
669,161,main,3
671,1000671,rerun,2
673,163,main,3
680,1000680,rerun,2
683,164,main,3
685,1000685,rerun,2
686,167,main,3
688,162,main,3
710,169,main,3
712,1000712,rerun,2
713,1000713,rerun,2
715,170,main,3
720,176,main,3
725,171,main,3
733,173,main,3
736,172,main,3
738,179,main,3
739,178,main,3
740,175,main,3
748,180,main,3
753,1000753,rerun,2
754,1000754,rerun,2
759,185,main,3
764,181,main,3
786,187,main,3
792,189,main,3
800,192,main,3
804,188,main,3
813,202,main,3
814,194,main,3
822,196,main,3
825,197,main,3
828,1000828,rerun,2
834,198,main,3
845,201,main,3
850,200,main,3
856,204,main,3
868,207,main,3
869,1000869,rerun,2
871,208,main,3
874,1000874,rerun,2
876,1000876,rerun,1
890,210,main,3
891,214,main,3
894,1000894,rerun,2
898,216,main,3
906,212,main,3
913,219,main,3
917,1000917,rerun,2
927,1000927,rerun,2
928,228,main,3
929,223,main,3
933,222,main,3
934,227,main,3
936,229,main,3
940,226,main,3
950,1000950,rerun,2
962,1000962,rerun,2
963,234,main,3
964,233,main,3
967,235,main,3
971,1000971,rerun,2
978,1000978,rerun,2
995,1000995,rerun,2
1001,1001001,rerun,1
1005,1001005,rerun,2
1008,242,main,3
1010,1001010,rerun,2
1011,240,main,3
