seed,verdict,reason,seconds
44,reject,Assert_connectivity_failed,3
49,reject,Attacker_not_available
Terminated,6
20,reject,Attacker_not_available
Terminated,6
48,reject,Attacker_not_available
Terminated,7
54,reject,Attacker_not_available
Terminated,6
8,accept,ok,27
30,accept,ok,29
26,accept,ok,30
34,accept,ok,30
27,accept,ok,32
51,accept,ok,29
2,accept,ok,33
5,accept,ok,33
32,accept,ok,34
18,accept,ok,34
7,accept,ok,34
10,accept,ok,34
16,accept,ok,35
13,accept,ok,35
45,accept,ok,36
12,accept,ok,36
81,reject,Assert_connectivity_failed,2
50,accept,ok,37
36,accept,ok,37
96,reject,Assert_connectivity_failed,4
55,accept,ok,36
42,accept,ok,44
56,accept,ok,33
106,reject,Attacker_not_available
Terminated,6
53,accept,ok,41
58,accept,ok,29
66,accept,ok,29
68,accept,ok,31
70,accept,ok,31
59,accept,ok,35
61,accept,ok,35
75,accept,ok,31
88,accept,ok,31
60,accept,ok,38
84,accept,ok,34
99,accept,ok,32
91,accept,ok,32
90,accept,ok,34
69,accept,ok,37
83,accept,ok,37
103,accept,ok,34
131,reject,Attacker_not_available
Terminated,6
145,reject,Assert_connectivity_failed,2
102,accept,ok,36
111,accept,ok,29
108,accept,ok,31
160,reject,Attacker_not_available
Terminated,5
110,accept,ok,33
107,accept,ok,37
114,accept,ok,34
169,reject,Attacker_not_available
Terminated,7
115,accept,ok,32
176,reject,Attacker_not_available
Terminated,6
116,accept,ok,30
120,accept,ok,28
132,accept,ok,26
121,accept,ok,31
127,accept,ok,31
129,accept,ok,32
134,accept,ok,30
118,accept,ok,37
203,reject,Assert_connectivity_failed,3
136,accept,ok,32
205,reject,Assert_connectivity_failed,3
144,accept,ok,32
166,accept,ok,30
143,accept,ok,35
148,accept,ok,33
162,accept,ok,32
173,accept,ok,27
167,accept,ok,35
170,accept,ok,32
142,accept,ok,43
168,accept,ok,37
171,accept,ok,34
229,reject,Attacker_not_available
Terminated,6
181,accept,ok,32
187,accept,ok,31
188,accept,ok,31
216,accept,ok,26
211,accept,ok,28
198,accept,ok,34
189,accept,ok,37
220,accept,ok,25
201,accept,ok,33
200,accept,ok,36
219,accept,ok,29
209,accept,ok,33
207,accept,ok,34
222,accept,ok,32
225,accept,ok,27
260,reject,Attacker_not_available
Terminated,5
212,accept,ok,38
221,accept,ok,36
224,accept,ok,32
227,accept,ok,31
271,reject,Assert_connectivity_failed,4
231,accept,ok,37
233,accept,ok,37
234,accept,ok,35
279,reject,Attacker_not_available
Terminated,7
285,reject,Attacker_not_available
Terminated,6
252,accept,ok,28
253,accept,ok,28
241,accept,ok,36
240,accept,ok,37
246,accept,ok,32
254,accept,ok,32
237,accept,ok,40
248,accept,ok,34
258,accept,ok,30
297,reject,Attacker_not_available
Terminated,6
251,accept,ok,37
298,reject,Attacker_not_available
Terminated,6
262,accept,ok,33
300,reject,Attacker_not_available
Terminated,6
256,accept,ok,39
272,accept,ok,32
266,accept,ok,35
315,reject,Attacker_not_available
Terminated,6
273,accept,ok,34
278,accept,ok,32
267,accept,ok,37
326,reject,Assert_connectivity_failed,4
325,reject,Attacker_not_available
Terminated,5
274,accept,ok,37
276,accept,ok,37
333,reject,Assert_connectivity_failed,3
329,reject,Attacker_not_available
Terminated,6
332,reject,Attacker_not_available
Terminated,6
286,accept,ok,29
291,accept,ok,26
347,reject,Assert_connectivity_failed,4
350,reject,Assert_connectivity_failed,3
292,accept,ok,32
296,accept,ok,31
294,accept,ok,32
307,accept,ok,29
301,accept,ok,32
361,reject,Assert_connectivity_failed,4
290,accept,ok,38
304,accept,ok,33
366,reject,Assert_connectivity_failed,4
367,reject,Attacker_not_available
Terminated,6
308,accept,ok,35
316,accept,ok,33
323,accept,ok,30
309,accept,ok,36
310,accept,ok,36
377,reject,Attacker_not_available
Terminated,5
330,accept,ok,33
335,accept,ok,31
336,accept,ok,30
327,accept,ok,35
345,accept,ok,29
348,accept,ok,29
339,accept,ok,33
355,accept,ok,29
346,accept,ok,35
398,reject,Attacker_not_available
Terminated,6
360,accept,ok,30
402,reject,Attacker_not_available
Terminated,7
406,reject,Assert_connectivity_failed,3
365,accept,ok,33
362,accept,ok,35
373,accept,ok,31
372,accept,ok,34
368,accept,ok,38
370,accept,ok,37
385,accept,ok,29
374,accept,ok,34
383,accept,ok,32
379,accept,ok,34
378,accept,ok,35
380,accept,ok,37
388,accept,ok,32
394,accept,ok,31
391,accept,ok,33
392,accept,ok,34
393,accept,ok,38
403,accept,ok,35
413,accept,ok,26
405,accept,ok,35
411,accept,ok,31
443,reject,Assert_connectivity_failed,3
410,accept,ok,36
409,accept,ok,38
445,reject,Attacker_not_available
Terminated,6
451,reject,Attacker_not_available
Terminated,7
414,accept,ok,37
416,accept,ok,34
422,accept,ok,31
420,accept,ok,33
418,accept,ok,33
417,accept,ok,36
415,accept,ok,38
412,accept,ok,45
472,reject,Assert_connectivity_failed,3
427,accept,ok,31
421,accept,ok,37
423,accept,ok,39
433,accept,ok,34
428,accept,ok,37
431,accept,ok,36
481,reject,Attacker_not_available
Terminated,6
480,reject,Attacker_not_available
Terminated,7
424,accept,ok,40
483,reject,Assert_connectivity_failed,4
487,reject,Assert_connectivity_failed,3
450,accept,ok,33
447,accept,ok,35
441,accept,ok,40
455,accept,ok,34
505,reject,Assert_connectivity_failed,4
501,reject,Attacker_not_available
Terminated,7
438,accept,ok,47
474,accept,ok,26
463,accept,ok,33
461,accept,ok,39
469,accept,ok,30
511,reject,Assert_connectivity_failed,3
465,accept,ok,35
467,accept,ok,35
466,accept,ok,36
479,accept,ok,34
476,accept,ok,37
471,accept,ok,40
492,accept,ok,32
494,accept,ok,31
484,accept,ok,36
495,accept,ok,33
488,accept,ok,39
496,accept,ok,36
532,reject,Attacker_not_available
Terminated,7
534,reject,Attacker_not_available
Terminated,7
490,accept,ok,40
503,accept,ok,32
499,accept,ok,37
512,accept,ok,31
514,accept,ok,31
506,accept,ok,35
509,accept,ok,35
554,reject,Assert_connectivity_failed,4
553,reject,Attacker_not_available
Terminated,6
523,accept,ok,36
527,accept,ok,32
510,accept,ok,40
516,accept,ok,38
528,accept,ok,32
524,accept,ok,40
529,accept,ok,35
530,accept,ok,33
525,accept,ok,41
540,accept,ok,27
542,accept,ok,28
578,reject,Assert_connectivity_failed,4
575,reject,Attacker_not_available
Terminated,6
544,accept,ok,30
539,accept,ok,31
537,accept,ok,36
536,accept,ok,38
552,accept,ok,36
555,accept,ok,32
549,accept,ok,41
563,accept,ok,32
597,reject,Assert_connectivity_failed,4
561,accept,ok,34
570,accept,ok,32
562,accept,ok,36
559,accept,ok,38
568,accept,ok,35
577,accept,ok,28
572,accept,ok,35
569,accept,ok,36
576,accept,ok,32
579,accept,ok,30
583,accept,ok,28
619,reject,Attacker_not_available
Terminated,8
590,accept,ok,30
581,accept,ok,33
587,accept,ok,32
573,accept,ok,42
588,accept,ok,34
591,accept,ok,36
585,accept,ok,42
595,accept,ok,34
600,accept,ok,29
596,accept,ok,35
601,accept,ok,34
607,accept,ok,33
615,accept,ok,31
616,accept,ok,32
617,accept,ok,33
626,accept,ok,32
629,accept,ok,28
651,reject,Attacker_not_available
Terminated,8
603,accept,ok,45
605,accept,ok,43
635,accept,ok,30
624,accept,ok,38
609,accept,ok,45
631,accept,ok,35
665,reject,Attacker_not_available
Terminated,6
627,accept,ok,40
632,accept,ok,36
666,reject,Attacker_not_available
Terminated,8
636,accept,ok,38
672,reject,Attacker_not_available
Terminated,7
644,accept,ok,33
637,accept,ok,42
642,accept,ok,37
646,accept,ok,36
648,accept,ok,35
689,reject,Attacker_not_available
Terminated,6
647,accept,ok,39
650,accept,ok,36
662,accept,ok,30
657,accept,ok,34
663,accept,ok,33
664,accept,ok,34
653,accept,ok,44
671,accept,ok,34
670,accept,ok,37
675,accept,ok,35
669,accept,ok,39
714,reject,Attacker_not_available
Terminated,6
681,accept,ok,33
676,accept,ok,37
678,accept,ok,36
673,accept,ok,38
685,accept,ok,37
683,accept,ok,39
690,accept,ok,30
695,accept,ok,29
692,accept,ok,30
688,accept,ok,37
737,reject,Attacker_not_available
Terminated,6
686,accept,ok,43
702,accept,ok,32
700,accept,ok,32
710,accept,ok,33
699,accept,ok,37
722,accept,ok,26
715,accept,ok,31
713,accept,ok,36
712,accept,ok,38
725,accept,ok,31
760,reject,Attacker_not_available
Terminated,6
719,accept,ok,36
728,accept,ok,31
727,accept,ok,34
729,accept,ok,32
733,accept,ok,35
720,accept,ok,38
736,accept,ok,31
770,reject,Attacker_not_available
Terminated,7
740,accept,ok,29
777,reject,Attacker_not_available
Terminated,6
741,accept,ok,29
738,accept,ok,36
752,accept,ok,29
739,accept,ok,40
748,accept,ok,36
753,accept,ok,34
756,accept,ok,34
751,accept,ok,38
805,reject,Assert_connectivity_failed,4
754,accept,ok,36
807,reject,Attacker_not_available
Terminated,6
810,reject,Attacker_not_available
Terminated,6
766,accept,ok,33
768,accept,ok,30
767,accept,ok,35
759,accept,ok,40
816,reject,Attacker_not_available
Terminated,7
774,accept,ok,36
779,accept,ok,35
780,accept,ok,33
786,accept,ok,32
775,accept,ok,39
790,accept,ok,33
783,accept,ok,36
792,accept,ok,36
781,accept,ok,39
829,reject,Attacker_not_available
Terminated,7
793,accept,ok,34
782,accept,ok,43
838,reject,Attacker_not_available
Terminated,6
804,accept,ok,32
800,accept,ok,34
812,accept,ok,32
797,accept,ok,43
815,accept,ok,30
822,accept,ok,30
814,accept,ok,37
826,accept,ok,27
821,accept,ok,32
825,accept,ok,35
831,accept,ok,31
834,accept,ok,31
830,accept,ok,34
837,accept,ok,32
828,accept,ok,37
850,accept,ok,28
845,accept,ok,30
844,accept,ok,32
827,accept,ok,47
856,accept,ok,32
883,reject,Attacker_not_available
Terminated,7
859,accept,ok,32
841,accept,ok,42
861,accept,ok,31
851,accept,ok,39
858,accept,ok,38
860,accept,ok,33
864,accept,ok,37
867,accept,ok,36
866,accept,ok,38
868,accept,ok,39
873,accept,ok,30
870,accept,ok,38
869,accept,ok,44
871,accept,ok,34
874,accept,ok,33
876,accept,ok,35
880,accept,ok,35
921,reject,Attacker_not_available
Terminated,6
877,accept,ok,36
923,reject,Attacker_not_available
Terminated,7
890,accept,ok,30
888,accept,ok,37
891,accept,ok,32
932,reject,Assert_connectivity_failed,2
905,accept,ok,27
894,accept,ok,33
898,accept,ok,34
911,accept,ok,35
895,accept,ok,36
893,accept,ok,45
904,accept,ok,41
916,accept,ok,33
913,accept,ok,38
925,accept,ok,30
924,accept,ok,32
912,accept,ok,45
926,accept,ok,32
919,accept,ok,39
918,accept,ok,41
927,accept,ok,34
955,reject,Attacker_not_available
Terminated,7
929,accept,ok,34
933,accept,ok,33
928,accept,ok,37
957,reject,Attacker_not_available
Terminated,8
937,accept,ok,32
935,accept,ok,36
970,reject,Attacker_not_available
Terminated,6
931,accept,ok,40
981,reject,Assert_connectivity_failed,4
940,accept,ok,30
941,accept,ok,30
934,accept,ok,40
986,reject,Assert_connectivity_failed,3
936,accept,ok,41
990,reject,Assert_connectivity_failed,3
939,accept,ok,37
998,reject,Assert_connectivity_failed,4
947,accept,ok,34
952,accept,ok,29
942,accept,ok,37
948,accept,ok,34
950,accept,ok,34
963,accept,ok,32
964,accept,ok,33
967,accept,ok,31
973,accept,ok,28
968,accept,ok,34
983,accept,ok,30
