scenario,run_id,ObserverIdx,ObserverNodeId,SniffedBytes,TcCount,AvgAdvertisedLinksPerTC,SourcesHeard,SrcRateStd,ObsOlsrBytes
baseline,1,1,8,42004.0,734.0,3.97139,5.0,459.998024,42004.0
baseline,10,0,44,26116.0,395.0,3.675949,5.0,578.126829,26116.0
baseline,100,0,9,18384.0,246.0,4.288618,4.0,843.855153,18384.0
baseline,1000,0,9,53256.0,819.0,4.272283,8.0,672.26825,53256.0
baseline,1000001,1,7,21520.0,238.0,4.37395,4.0,619.458861,21520.0
baseline,1000002,2,32,56494.0,571.0,3.957968,8.0,958.887475,43132.0
baseline,1000012,2,40,27508.0,483.0,4.542443,3.0,1010.507006,27508.0
baseline,1000018,8,41,57396.0,956.0,4.008368,7.0,619.084586,57396.0
baseline,1000034,4,25,55620.0,974.0,4.0154,7.0,741.572797,55620.0
baseline,1000036,6,22,75764.0,1345.0,4.073606,9.0,756.266865,75764.0
baseline,1000053,3,22,24680.0,311.0,4.228296,4.0,526.289806,24680.0
baseline,1000056,6,11,27416.0,381.0,4.388451,4.0,579.389058,27416.0
baseline,1000070,0,3,71276.0,1145.0,4.204367,8.0,617.421598,71276.0
baseline,1000081,1,16,50762.0,679.0,3.493373,5.0,1139.197236,39740.0
baseline,1000110,0,35,16224.0,244.0,3.356557,3.0,811.235502,16224.0
baseline,1000127,7,19,33068.0,535.0,3.86729,5.0,1014.530162,33068.0
baseline,1000131,1,8,25156.0,345.0,3.927536,6.0,718.726194,25156.0
baseline,1000132,2,12,71972.0,746.0,4.079088,8.0,1415.424625,51956.0
baseline,1000134,4,18,67600.0,746.0,3.946381,9.0,1082.94747,52804.0
baseline,1000136,6,6,128960.0,1100.0,4.733636,14.0,2326.769785,91944.0
baseline,1000145,5,29,35376.0,209.0,3.909091,9.0,429.93002,31920.0
baseline,1000148,8,30,69314.0,1016.0,3.884843,7.0,702.942805,58868.0
baseline,1000185,5,25,89390.0,1115.0,4.652915,11.0,1003.421073,78628.0
baseline,1000203,3,22,50132.0,752.0,3.909574,8.0,758.394297,50132.0
baseline,1000220,0,44,12824.0,43.0,2.651163,5.0,240.07007,12824.0
baseline,1000229,9,49,39108.0,514.0,3.931907,7.0,680.307522,39108.0
baseline,1000240,0,16,94068.0,1359.0,4.671082,13.0,761.952805,92408.0
baseline,1000250,0,7,50642.0,564.0,3.87234,8.0,1095.848584,39880.0
baseline,1000260,0,38,26742.0,460.0,4.169565,3.0,576.716715,26468.0
baseline,1000274,4,41,63904.0,1073.0,3.986952,9.0,699.001187,63904.0
baseline,1000279,9,47,44248.0,418.0,4.0,10.0,421.059205,44248.0
baseline,1000282,2,48,71790.0,897.0,3.672241,9.0,800.20744,61344.0
baseline,1000285,5,34,76292.0,1064.0,4.691729,10.0,801.798223,76292.0
baseline,1000290,0,6,50604.0,631.0,4.690967,8.0,601.828547,50288.0
baseline,1000297,7,32,37620.0,669.0,4.273543,4.0,884.923025,37620.0
baseline,1000301,1,34,81358.0,902.0,4.445676,11.0,773.548777,70280.0
baseline,1000315,5,5,44790.0,681.0,4.011747,8.0,919.399668,43748.0
baseline,1000323,3,7,42812.0,771.0,4.037613,6.0,882.891422,42812.0
baseline,1000325,5,6,38528.0,624.0,4.054487,5.0,519.858344,38528.0
baseline,1000327,7,37,27884.0,381.0,3.606299,5.0,889.360025,27884.0
baseline,1000330,0,16,23260.0,412.0,3.769417,4.0,753.078455,21796.0
baseline,1000332,2,20,51020.0,821.0,4.428745,7.0,654.445745,51020.0
baseline,1000359,9,42,82794.0,1251.0,3.92486,9.0,743.38263,77216.0
baseline,1000365,5,10,15052.0,267.0,4.071161,2.0,1041.2,15052.0
baseline,1000367,7,6,34008.0,472.0,4.497881,6.0,807.622618,34008.0
baseline,1000368,8,29,24932.0,279.0,4.501792,5.0,951.586546,24932.0
baseline,1000377,7,14,24744.0,363.0,4.060606,4.0,788.636393,24744.0
baseline,1000383,3,22,44808.0,809.0,4.091471,5.0,666.321455,44808.0
baseline,1000386,6,3,61944.0,982.0,4.180244,8.0,703.586214,61944.0
baseline,1000391,1,41,51380.0,667.0,4.187406,10.0,587.403044,51380.0
baseline,1000398,8,44,45246.0,571.0,3.872154,4.0,766.564361,34484.0
baseline,1000402,2,39,55984.0,717.0,4.087866,9.0,706.409457,55984.0
baseline,1000409,9,21,59934.0,515.0,4.559223,8.0,1070.923041,49488.0
baseline,1000451,1,41,37028.0,608.0,4.011513,6.0,707.350122,37028.0
baseline,1000471,1,30,36668.0,486.0,4.121399,8.0,638.419854,36668.0
baseline,1000472,2,21,25856.0,480.0,3.970833,3.0,943.247007,25856.0
baseline,1000481,1,8,13616.0,279.0,4.193548,2.0,1132.0,13616.0
baseline,1000486,6,47,42412.0,630.0,3.906349,6.0,736.447461,42412.0
baseline,1000501,1,11,28104.0,455.0,3.621978,5.0,718.542418,28104.0
baseline,1000505,5,23,25684.0,308.0,4.022727,3.0,189.407309,17872.0
baseline,1000506,6,9,45242.0,670.0,3.68806,7.0,801.375357,44904.0
baseline,1000516,6,42,65676.0,881.0,4.343927,9.0,797.035039,65676.0
baseline,1000525,5,30,45618.0,563.0,4.147425,7.0,859.116934,45252.0
baseline,1000530,0,37,59056.0,908.0,4.017621,9.0,931.46679,59056.0
baseline,1000531,1,9,38556.0,500.0,4.462,6.0,860.180787,38556.0
baseline,1000534,4,27,64510.0,883.0,4.212911,7.0,1260.510585,54064.0
baseline,1000557,7,27,21532.0,277.0,3.927798,5.0,500.583621,21532.0
baseline,1000562,2,38,24172.0,338.0,4.325444,4.0,795.821362,24172.0
baseline,1000572,2,22,59174.0,749.0,4.648865,4.0,2335.541256,38464.0
baseline,1000575,5,28,35100.0,496.0,3.778226,6.0,614.123505,35100.0
baseline,1000587,7,8,29812.0,492.0,4.172764,6.0,998.415536,29812.0
baseline,1000605,5,21,61324.0,1115.0,4.192825,6.0,359.399623,61324.0
baseline,1000637,7,27,88982.0,910.0,3.756044,12.0,726.275307,78536.0
baseline,1000648,8,11,57588.0,855.0,4.226901,7.0,841.681349,57272.0
baseline,1000651,1,46,142466.0,1565.0,4.165495,20.0,930.069529,130844.0
baseline,1000653,3,13,59008.0,824.0,4.325243,10.0,788.487305,59008.0
baseline,1000657,7,24,27432.0,461.0,4.201735,4.0,848.475433,27432.0
baseline,1000666,6,49,40648.0,561.0,3.750446,6.0,613.664259,40648.0
baseline,1000670,0,26,54812.0,866.0,4.233256,8.0,883.969451,54812.0
baseline,1000671,1,48,39908.0,744.0,3.77957,5.0,627.869357,39908.0
baseline,1000672,2,36,30820.0,387.0,4.302326,5.0,922.438924,30820.0
baseline,1000678,8,27,64328.0,1247.0,3.682438,7.0,791.595609,64328.0
baseline,1000680,0,43,58004.0,1058.0,3.838374,7.0,728.967252,58004.0
baseline,1000685,5,25,22528.0,384.0,3.528646,3.0,403.388492,22528.0
baseline,1000694,4,42,43524.0,746.0,4.008043,5.0,479.184481,43524.0
baseline,1000706,6,27,44708.0,506.0,3.982213,8.0,688.984695,44708.0
baseline,1000712,2,38,91724.0,1307.0,4.995409,13.0,845.410296,91724.0
baseline,1000713,3,42,90706.0,1057.0,4.497635,11.0,1688.022178,72520.0
baseline,1000714,4,37,42116.0,760.0,3.971053,5.0,758.007223,42116.0
baseline,1000722,2,16,50300.0,730.0,3.919178,8.0,798.637584,50300.0
baseline,1000728,8,45,62672.0,830.0,3.540964,9.0,697.559711,51452.0
baseline,1000753,3,32,32280.0,471.0,4.205945,5.0,794.63046,32280.0
baseline,1000754,4,17,62780.0,856.0,3.554907,9.0,670.408745,62780.0
baseline,1000760,0,9,55120.0,642.0,3.775701,9.0,443.628745,55120.0
baseline,1000766,6,31,54010.0,923.0,4.497291,6.0,673.409105,48944.0
baseline,1000770,0,17,72164.0,957.0,4.180773,12.0,679.210323,72164.0
baseline,1000781,1,37,52168.0,730.0,4.335616,7.0,706.544289,52168.0
baseline,1000807,7,42,18032.0,221.0,4.171946,4.0,813.371059,18032.0
baseline,1000810,0,39,38388.0,590.0,3.80339,6.0,581.787361,38388.0
baseline,1000816,6,30,54992.0,759.0,4.022398,9.0,737.666048,54992.0
baseline,1000828,8,8,69812.0,972.0,4.018519,11.0,693.277373,69812.0
baseline,1000829,9,49,17104.0,245.0,4.008163,3.0,834.363907,17104.0
baseline,1000838,8,41,37888.0,613.0,4.244698,6.0,802.225261,37888.0
baseline,1000844,4,44,12000.0,257.0,3.622568,1.0,0.0,12000.0
baseline,1000867,7,45,92412.0,1374.0,4.507278,12.0,703.827564,92412.0
baseline,1000869,9,39,31572.0,551.0,4.245009,4.0,894.686426,31572.0
baseline,1000873,3,24,44482.0,499.0,4.430862,7.0,696.452117,36780.0
baseline,1000874,4,34,29262.0,247.0,4.522267,4.0,1945.771785,18240.0
baseline,1000876,6,41,29876.0,468.0,3.912393,5.0,804.939853,29876.0
baseline,1000889,9,21,27424.0,333.0,4.117117,6.0,473.106424,27424.0
baseline,1000894,4,3,4056.0,30.0,2.5,2.0,272.8,4056.0
baseline,1000917,7,27,35220.0,632.0,3.452532,5.0,345.280222,35220.0
baseline,1000927,7,13,43226.0,363.0,4.564738,8.0,705.116664,34564.0
baseline,1000950,0,9,72864.0,1135.0,3.915419,9.0,357.344079,72864.0
baseline,1000955,5,47,23240.0,284.0,3.880282,5.0,620.875253,23240.0
