scenario,run_id,ObserverIdx,ObserverNodeId,SniffedBytes,TcCount,AvgAdvertisedLinksPerTC,SourcesHeard,SrcRateStd,ObsOlsrBytes
baseline,1,1,48,57716.0,798.0,4.414787,8.0,659.903379,57716.0
baseline,10,0,12,40136.0,224.0,4.071429,4.0,1740.269588,18352.0
baseline,100,0,43,70732.0,813.0,4.797048,6.0,1038.619665,49208.0
baseline,1000,0,35,72752.0,1080.0,4.814815,9.0,967.246829,72752.0
baseline,1000008,8,9,12412.0,224.0,3.821429,2.0,873.2,12412.0
baseline,1000018,8,41,46844.0,746.0,4.225201,6.0,831.005998,46844.0
baseline,1000020,0,15,62216.0,937.0,4.747065,7.0,587.977687,62216.0
baseline,1000030,0,27,13892.0,248.0,3.870968,2.0,1021.2,13892.0
baseline,1000034,4,25,58508.0,852.0,4.262911,8.0,903.132056,58508.0
baseline,1000048,8,25,62492.0,761.0,3.792378,9.0,767.984948,62492.0
baseline,1000049,9,27,18992.0,216.0,4.37037,4.0,785.658246,18992.0
baseline,1000053,3,22,31572.0,512.0,4.625,4.0,1067.834201,31572.0
baseline,1000054,4,24,29088.0,464.0,4.275862,4.0,962.592666,29088.0
baseline,1000061,1,25,38812.0,436.0,4.463303,7.0,805.988379,38812.0
baseline,1000066,6,39,19984.0,366.0,3.81694,2.0,466.4,19984.0
baseline,1000068,8,36,77664.0,953.0,4.417629,12.0,714.160467,77664.0
baseline,1000070,0,3,67616.0,1007.0,4.154916,8.0,643.66687,67616.0
baseline,1000081,1,16,30342.0,205.0,4.507317,4.0,1569.692301,19896.0
baseline,1000106,6,12,28804.0,416.0,4.884615,4.0,721.601857,28804.0
baseline,1000110,0,35,16604.0,240.0,4.133333,3.0,821.373246,16604.0
baseline,1000127,7,19,29544.0,576.0,3.555556,3.0,1019.365136,29544.0
baseline,1000131,1,8,19128.0,184.0,5.173913,4.0,760.934478,19128.0
baseline,1000134,4,18,82280.0,755.0,4.463576,9.0,1301.296399,61648.0
baseline,1000136,6,6,70958.0,625.0,4.4272,10.0,1199.86954,60512.0
baseline,1000145,5,29,21068.0,218.0,4.197248,4.0,811.282713,21068.0
baseline,1000148,8,30,65886.0,902.0,4.152993,7.0,798.417602,55440.0
baseline,1000160,0,14,15344.0,224.0,4.5,2.0,845.6,15344.0
baseline,1000166,6,22,44652.0,843.0,3.655991,4.0,475.517865,44652.0
baseline,1000169,9,49,51172.0,783.0,3.979566,7.0,829.958358,51172.0
baseline,1000176,6,45,28672.0,476.0,4.184874,4.0,985.696748,28672.0
baseline,1000203,3,22,51668.0,713.0,3.967742,8.0,903.916805,51668.0
baseline,1000220,0,44,19320.0,224.0,3.785714,4.0,738.292408,19320.0
baseline,1000229,9,49,45632.0,361.0,3.99446,10.0,648.647819,45316.0
baseline,1000256,6,34,81794.0,1112.0,4.600719,9.0,849.566975,71032.0
baseline,1000260,0,38,10888.0,200.0,4.84,1.0,0.0,10888.0
baseline,1000272,2,29,84434.0,1248.0,3.810096,8.0,1089.696159,73672.0
baseline,1000274,4,41,67560.0,1173.0,3.932651,8.0,702.349628,67560.0
baseline,1000279,9,47,50308.0,604.0,4.018212,9.0,660.708965,50308.0
