run_id,seed,result,reason,timestamp
-,14,REJECT,connectivity,2026-08-12 14:17:27
-,17,REJECT,connectivity,2026-08-12 14:17:27
-,21,REJECT,connectivity,2026-08-12 14:17:27
-,7,REJECT,connectivity,2026-08-12 14:17:27
-,10,REJECT,connectivity,2026-08-12 14:17:28
-,9,REJECT,connectivity,2026-08-12 14:17:28
-,20,REJECT,connectivity,2026-08-12 14:17:28
-,8,REJECT,connectivity,2026-08-12 14:17:28
-,3,REJECT,connectivity,2026-08-12 14:17:28
-,11,REJECT,connectivity,2026-08-12 14:17:28
-,15,REJECT,connectivity,2026-08-12 14:17:28
-,16,REJECT,connectivity,2026-08-12 14:17:28
-,6,REJECT,connectivity,2026-08-12 14:17:28
-,19,REJECT,connectivity,2026-08-12 14:17:28
-,18,REJECT,distance_lt3hops,2026-08-12 14:17:28
-,13,REJECT,connectivity,2026-08-12 14:17:28
-,22,REJECT,connectivity,2026-08-12 14:17:28
-,1,REJECT,distance_lt3hops,2026-08-12 14:17:29
-,23,REJECT,connectivity,2026-08-12 14:17:29
-,25,REJECT,connectivity,2026-08-12 14:17:30
-,26,REJECT,connectivity,2026-08-12 14:17:31
-,35,REJECT,connectivity,2026-08-12 14:17:31
-,33,REJECT,connectivity,2026-08-12 14:17:31
-,28,REJECT,connectivity,2026-08-12 14:17:31
-,29,REJECT,connectivity,2026-08-12 14:17:31
-,30,REJECT,connectivity,2026-08-12 14:17:31
-,37,REJECT,connectivity,2026-08-12 14:17:31
-,32,REJECT,connectivity,2026-08-12 14:17:32
-,31,REJECT,connectivity,2026-08-12 14:17:32
-,34,REJECT,connectivity,2026-08-12 14:17:32
-,41,REJECT,connectivity,2026-08-12 14:17:32
-,40,REJECT,connectivity,2026-08-12 14:17:32
-,46,REJECT,connectivity,2026-08-12 14:17:34
-,42,REJECT,connectivity,2026-08-12 14:17:34
-,51,REJECT,connectivity,2026-08-12 14:17:35
-,49,REJECT,connectivity,2026-08-12 14:17:35
-,43,REJECT,connectivity,2026-08-12 14:17:35
-,48,REJECT,connectivity,2026-08-12 14:17:35
-,54,REJECT,connectivity,2026-08-12 14:17:35
-,2,REJECT,distance_lt3hops,2026-08-12 14:17:35
-,52,REJECT,connectivity,2026-08-12 14:17:36
-,53,REJECT,connectivity,2026-08-12 14:17:36
-,12,REJECT,distance_lt3hops,2026-08-12 14:17:36
-,57,REJECT,connectivity,2026-08-12 14:17:37
-,56,REJECT,connectivity,2026-08-12 14:17:37
-,61,REJECT,connectivity,2026-08-12 14:17:38
-,62,REJECT,connectivity,2026-08-12 14:17:39
-,64,REJECT,connectivity,2026-08-12 14:17:40
-,63,REJECT,connectivity,2026-08-12 14:17:40
-,36,REJECT,connectivity,2026-08-12 14:17:40
-,65,REJECT,connectivity,2026-08-12 14:17:40
-,66,REJECT,connectivity,2026-08-12 14:17:41
-,68,REJECT,connectivity,2026-08-12 14:17:42
-,72,REJECT,connectivity,2026-08-12 14:17:43
-,71,REJECT,connectivity,2026-08-12 14:17:43
-,74,REJECT,connectivity,2026-08-12 14:17:43
-,70,REJECT,connectivity,2026-08-12 14:17:43
-,73,REJECT,connectivity,2026-08-12 14:17:44
-,78,REJECT,connectivity,2026-08-12 14:17:45
-,75,REJECT,connectivity,2026-08-12 14:17:45
-,76,REJECT,connectivity,2026-08-12 14:17:46
