run_id,seed,result,reason,timestamp
-,14,REJECT,connectivity,2026-08-12 09:58:58
-,17,REJECT,connectivity,2026-08-12 09:58:58
-,21,REJECT,connectivity,2026-08-12 09:58:59
-,9,REJECT,connectivity,2026-08-12 09:58:59
-,11,REJECT,connectivity,2026-08-12 09:58:59
-,22,REJECT,connectivity,2026-08-12 09:58:59
-,4,REJECT,connectivity,2026-08-12 09:58:59
-,8,REJECT,distance_lt3hops,2026-08-12 09:58:59
-,3,REJECT,connectivity,2026-08-12 09:58:59
-,1,REJECT,distance_lt3hops,2026-08-12 09:58:59
-,20,REJECT,distance_lt3hops,2026-08-12 09:58:59
-,19,REJECT,connectivity,2026-08-12 09:58:59
-,18,REJECT,distance_lt3hops,2026-08-12 09:58:59
-,15,REJECT,connectivity,2026-08-12 09:58:59
-,6,REJECT,connectivity,2026-08-12 09:58:59
-,23,REJECT,connectivity,2026-08-12 09:59:00
-,25,REJECT,connectivity,2026-08-12 09:59:01
-,24,REJECT,connectivity,2026-08-12 09:59:01
-,35,REJECT,connectivity,2026-08-12 09:59:01
-,33,REJECT,connectivity,2026-08-12 09:59:02
-,28,REJECT,connectivity,2026-08-12 09:59:02
-,37,REJECT,connectivity,2026-08-12 09:59:02
-,31,REJECT,connectivity,2026-08-12 09:59:02
-,30,REJECT,distance_lt3hops,2026-08-12 09:59:02
-,29,REJECT,connectivity,2026-08-12 09:59:02
-,34,REJECT,connectivity,2026-08-12 09:59:03
-,38,REJECT,connectivity,2026-08-12 09:59:03
-,41,REJECT,connectivity,2026-08-12 09:59:04
-,46,REJECT,connectivity,2026-08-12 09:59:04
-,39,REJECT,connectivity,2026-08-12 09:59:04
-,40,REJECT,connectivity,2026-08-12 09:59:05
-,47,REJECT,connectivity,2026-08-12 09:59:05
-,43,REJECT,connectivity,2026-08-12 09:59:05
-,48,REJECT,connectivity,2026-08-12 09:59:06
-,49,REJECT,connectivity,2026-08-12 09:59:06
-,52,REJECT,connectivity,2026-08-12 09:59:08
-,54,REJECT,connectivity,2026-08-12 09:59:08
-,53,REJECT,connectivity,2026-08-12 09:59:08
-,57,REJECT,connectivity,2026-08-12 09:59:09
-,61,REJECT,connectivity,2026-08-12 09:59:12
-,62,REJECT,connectivity,2026-08-12 09:59:15
-,63,REJECT,connectivity,2026-08-12 09:59:18
1,7,ACCEPT,outputs_ok,2026-08-12 09:59:20
-,64,REJECT,connectivity,2026-08-12 09:59:21
2,2,ACCEPT,outputs_ok,2026-08-12 09:59:21
3,26,ACCEPT,outputs_ok,2026-08-12 09:59:22
4,10,ACCEPT,outputs_ok,2026-08-12 09:59:22
5,5,ACCEPT,outputs_ok,2026-08-12 09:59:22
-,65,REJECT,connectivity,2026-08-12 09:59:23
-,67,REJECT,connectivity,2026-08-12 09:59:23
6,27,ACCEPT,outputs_ok,2026-08-12 09:59:23
7,44,ACCEPT,outputs_ok,2026-08-12 09:59:23
-,66,REJECT,connectivity,2026-08-12 09:59:23
8,16,ACCEPT,outputs_ok,2026-08-12 09:59:24
9,12,ACCEPT,outputs_ok,2026-08-12 09:59:24
-,68,REJECT,connectivity,2026-08-12 09:59:25
-,74,REJECT,connectivity,2026-08-12 09:59:25
-,70,REJECT,distance_lt3hops,2026-08-12 09:59:25
-,73,REJECT,connectivity,2026-08-12 09:59:25
-,76,REJECT,connectivity,2026-08-12 09:59:26
-,71,REJECT,connectivity,2026-08-12 09:59:26
-,72,REJECT,connectivity,2026-08-12 09:59:26
-,78,REJECT,connectivity,2026-08-12 09:59:27
-,77,REJECT,connectivity,2026-08-12 09:59:27
10,58,ACCEPT,outputs_ok,2026-08-12 09:59:28
11,32,ACCEPT,outputs_ok,2026-08-12 09:59:28
-,79,REJECT,connectivity,2026-08-12 09:59:28
-,80,REJECT,connectivity,2026-08-12 09:59:28
-,81,REJECT,connectivity,2026-08-12 09:59:28
12,56,ACCEPT,outputs_ok,2026-08-12 09:59:28
-,82,REJECT,connectivity,2026-08-12 09:59:29
13,45,ACCEPT,outputs_ok,2026-08-12 09:59:29
-,85,REJECT,connectivity,2026-08-12 09:59:29
14,36,ACCEPT,outputs_ok,2026-08-12 09:59:30
-,86,REJECT,connectivity,2026-08-12 09:59:30
-,89,REJECT,connectivity,2026-08-12 09:59:31
15,13,ACCEPT,outputs_ok,2026-08-12 09:59:31
16,51,ACCEPT,outputs_ok,2026-08-12 09:59:31
-,87,REJECT,connectivity,2026-08-12 09:59:31
-,92,REJECT,connectivity,2026-08-12 09:59:31
-,93,REJECT,connectivity,2026-08-12 09:59:31
-,95,REJECT,connectivity,2026-08-12 09:59:31
-,97,REJECT,connectivity,2026-08-12 09:59:33
-,94,REJECT,connectivity,2026-08-12 09:59:33
-,98,REJECT,connectivity,2026-08-12 09:59:33
-,100,REJECT,connectivity,2026-08-12 09:59:34
17,55,ACCEPT,outputs_ok,2026-08-12 09:59:34
-,104,REJECT,connectivity,2026-08-12 09:59:34
-,101,REJECT,connectivity,2026-08-12 09:59:34
-,105,REJECT,connectivity,2026-08-12 09:59:36
-,106,REJECT,connectivity,2026-08-12 09:59:36
18,42,ACCEPT,outputs_ok,2026-08-12 09:59:36
-,109,REJECT,connectivity,2026-08-12 09:59:37
19,50,ACCEPT,outputs_ok,2026-08-12 09:59:37
-,110,REJECT,connectivity,2026-08-12 09:59:37
-,113,REJECT,connectivity,2026-08-12 09:59:39
20,59,ACCEPT,outputs_ok,2026-08-12 09:59:39
-,112,REJECT,connectivity,2026-08-12 09:59:39
-,117,REJECT,connectivity,2026-08-12 09:59:39
-,119,REJECT,connectivity,2026-08-12 09:59:41
21,60,ACCEPT,outputs_ok,2026-08-12 09:59:43
-,122,REJECT,connectivity,2026-08-12 09:59:44
-,123,REJECT,connectivity,2026-08-12 09:59:46
-,124,REJECT,connectivity,2026-08-12 09:59:47
-,125,REJECT,connectivity,2026-08-12 09:59:49
-,126,REJECT,connectivity,2026-08-12 09:59:49
22,88,ACCEPT,outputs_ok,2026-08-12 09:59:50
23,75,ACCEPT,outputs_ok,2026-08-12 09:59:51
24,69,ACCEPT,outputs_ok,2026-08-12 09:59:51
-,127,REJECT,connectivity,2026-08-12 09:59:52
-,128,REJECT,connectivity,2026-08-12 09:59:52
-,130,REJECT,connectivity,2026-08-12 09:59:53
-,131,REJECT,distance_lt3hops,2026-08-12 09:59:54
25,84,ACCEPT,outputs_ok,2026-08-12 09:59:54
26,96,ACCEPT,outputs_ok,2026-08-12 09:59:54
-,133,REJECT,connectivity,2026-08-12 09:59:55
27,83,ACCEPT,outputs_ok,2026-08-12 09:59:55
28,91,ACCEPT,outputs_ok,2026-08-12 09:59:56
29,99,ACCEPT,outputs_ok,2026-08-12 09:59:56
-,135,REJECT,connectivity,2026-08-12 09:59:56
-,134,REJECT,connectivity,2026-08-12 09:59:56
-,137,REJECT,connectivity,2026-08-12 09:59:57
-,136,REJECT,connectivity,2026-08-12 09:59:57
30,90,ACCEPT,outputs_ok,2026-08-12 09:59:57
-,139,REJECT,connectivity,2026-08-12 09:59:58
-,138,REJECT,connectivity,2026-08-12 09:59:58
31,103,ACCEPT,outputs_ok,2026-08-12 09:59:58
-,140,REJECT,connectivity,2026-08-12 09:59:59
32,111,ACCEPT,outputs_ok,2026-08-12 09:59:59
-,141,REJECT,connectivity,2026-08-12 09:59:59
-,146,REJECT,connectivity,2026-08-12 10:00:00
-,145,REJECT,connectivity,2026-08-12 10:00:00
