seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
14,10000014,1,6.800000,2.357965,2.000000,13.000000,36.240000,15.916733,22.480000,7.324589,0,0,57.404291
17,10000017,1,7.300000,2.586503,2.000000,11.000000,47.560000,20.609862,30.760000,11.104161,0,0,57.316715
21,10000021,1,6.260000,2.784313,0.000000,11.000000,34.820000,22.527929,33.640000,13.615814,0,0,68.608230
7,10000007,1,6.460000,2.418347,1.000000,10.000000,34.920000,19.578396,43.360000,10.449421,0,0,72.504739
10,10000010,1,6.720000,2.698444,2.000000,13.000000,40.600000,27.984996,21.200000,6.157922,0,0,67.457158
9,10000009,1,6.880000,2.643029,1.000000,11.000000,41.120000,23.037048,45.160000,9.014122,0,0,59.922468
20,10000020,1,6.400000,2.513961,1.000000,12.000000,30.660000,17.836603,34.220000,12.285422,0,1,57.376353
8,10000008,1,6.280000,2.116979,2.000000,10.000000,30.780000,12.830105,43.680000,9.886233,1,0,59.721470
3,10000003,1,7.400000,2.391652,0.000000,12.000000,44.380000,21.515474,47.020000,6.718601,0,0,62.901076
11,10000011,1,6.380000,2.763259,0.000000,13.000000,34.740000,20.722751,45.120000,9.210081,0,0,75.143375
4,10000004,1,6.960000,3.610872,1.000000,14.000000,45.020000,37.677840,49.000000,0.000000,50,0,72.210404
15,10000015,1,7.700000,3.678315,1.000000,14.000000,55.680000,41.903909,47.140000,6.164446,1,0,59.223349
18,10000018,1,6.740000,2.304864,2.000000,11.000000,37.420000,19.990088,49.000000,0.000000,50,0,62.042139
16,10000016,1,6.940000,2.774239,2.000000,14.000000,39.160000,24.595414,47.020000,8.817006,45,0,64.901702
12,10000012,1,7.640000,3.173389,2.000000,14.000000,52.940000,32.131860,49.000000,0.000000,50,0,60.952721
2,10000002,1,6.960000,3.052605,2.000000,13.000000,41.240000,22.615534,49.000000,0.000000,50,0,70.502034
5,10000005,1,6.540000,2.201908,1.000000,11.000000,35.580000,16.298577,49.000000,0.000000,50,0,68.017164
6,10000006,1,7.540000,3.359821,1.000000,13.000000,52.840000,34.127033,47.880000,6.848766,42,0,67.454434
19,10000019,1,6.620000,3.078246,0.000000,12.000000,41.080000,30.479396,48.020000,0.140000,1,0,76.787958
1,10000001,1,6.660000,2.558202,1.000000,11.000000,35.080000,16.088306,49.000000,0.000000,50,1,68.514950
13,10000013,1,7.020000,3.271024,1.000000,13.000000,44.800000,32.416662,48.140000,0.346987,7,0,73.631439
22,10000022,1,8.340000,4.598304,0.000000,17.000000,66.640000,53.665915,38.320000,9.000978,0,0,72.855935
23,10000023,1,6.100000,2.483948,2.000000,11.000000,31.960000,22.686525,38.440000,12.348538,0,0,68.863459
25,10000025,1,6.060000,2.996064,1.000000,15.000000,31.720000,27.638408,38.440000,12.348538,0,1,64.165037
26,10000026,1,5.600000,2.481935,0.000000,12.000000,30.400000,20.011996,45.980000,9.390399,0,0,64.060592
24,10000024,1,6.500000,2.830194,2.000000,11.000000,35.700000,24.095850,49.000000,0.000000,50,0,70.444489
27,10000027,1,6.780000,2.460000,1.000000,12.000000,40.120000,18.383297,49.000000,0.000000,50,0,59.956378
35,10000035,1,5.500000,2.090454,1.000000,9.000000,24.480000,12.787869,38.120000,13.219138,0,1,69.078398
33,10000033,1,6.600000,3.026549,1.000000,13.000000,34.620000,23.180069,39.480000,9.621310,0,0,51.963256
28,10000028,1,7.400000,3.847077,0.000000,15.000000,54.640000,42.731141,38.000000,13.542526,0,0,66.556669
29,10000029,1,7.620000,3.964291,1.000000,15.000000,57.300000,41.607812,41.400000,13.095037,0,0,66.074378
30,10000030,1,5.780000,2.402415,0.000000,10.000000,29.680000,17.277083,47.040000,6.720000,0,0,76.847552
37,10000037,1,6.180000,2.558828,0.000000,12.000000,33.060000,19.265939,36.720000,13.102733,0,0,63.633838
38,10000038,1,6.380000,2.958986,1.000000,13.000000,34.300000,23.144978,49.000000,0.000000,50,0,75.431233
32,10000032,1,6.640000,2.833796,1.000000,13.000000,38.180000,28.047595,47.900000,6.850547,43,0,65.134834
31,10000031,1,6.740000,3.410630,1.000000,14.000000,42.240000,34.213775,47.040000,6.720000,0,0,70.705487
39,10000039,1,6.860000,2.584647,1.000000,11.000000,39.200000,18.352112,49.000000,0.000000,50,0,67.309468
34,10000034,1,5.840000,2.138785,2.000000,10.000000,25.680000,13.046747,49.000000,0.000000,50,0,60.155515
41,10000041,1,6.540000,2.692285,2.000000,13.000000,32.580000,20.247558,30.760000,11.104161,0,0,63.340236
36,10000036,1,6.980000,2.533693,2.000000,11.000000,39.500000,18.239792,49.000000,0.000000,50,0,64.368007
40,10000040,1,7.340000,3.069919,0.000000,14.000000,45.500000,28.395950,47.040000,6.720000,0,0,65.186884
46,10000046,1,5.920000,2.924654,1.000000,13.000000,32.900000,27.252339,36.720000,13.102733,0,0,65.920078
42,10000042,1,7.740000,3.756647,2.000000,16.000000,58.240000,48.014398,48.980000,0.140000,49,0,58.445596
44,10000044,1,5.960000,2.637878,1.000000,13.000000,29.560000,20.478437,49.000000,0.000000,50,0,69.191164
51,10000051,1,6.080000,2.606454,1.000000,13.000000,30.920000,20.798885,40.000000,12.000000,0,0,66.868958
49,10000049,1,6.540000,2.801500,3.000000,13.000000,38.400000,28.333020,48.140000,0.346987,7,1,63.958406
45,10000045,1,6.840000,2.540551,2.000000,13.000000,37.560000,20.885555,49.000000,0.000000,50,0,63.833807
43,10000043,1,6.480000,3.182703,1.000000,12.000000,38.780000,26.646793,45.160000,9.014122,0,0,82.918069
47,10000047,1,8.400000,2.979933,3.000000,13.000000,64.960000,29.691049,49.000000,0.000000,50,0,60.702755
48,10000048,1,6.840000,3.202249,1.000000,14.000000,46.440000,35.657908,45.160000,9.014122,0,1,69.754293
54,10000054,1,6.280000,2.514279,1.000000,11.000000,32.300000,20.150682,37.840000,12.766143,0,1,70.719519
50,10000050,1,7.620000,3.071742,1.000000,14.000000,50.320000,30.404894,49.000000,0.000000,50,0,68.055454
53,10000053,1,7.440000,3.550549,2.000000,15.000000,52.120000,37.646057,49.000000,0.000000,50,0,78.725926
52,10000052,1,7.880000,4.744007,1.000000,17.000000,63.060000,58.062521,45.160000,9.014122,0,0,68.140768
56,10000056,1,7.240000,2.867473,1.000000,14.000000,44.660000,26.784033,49.000000,0.000000,50,0,63.237258
57,10000057,1,7.860000,3.237345,0.000000,15.000000,55.080000,34.676701,24.720000,7.138739,0,0,71.133761
55,10000055,1,7.380000,2.985900,2.000000,13.000000,50.600000,29.620939,49.000000,0.000000,50,0,63.007978
58,10000058,1,6.160000,2.081922,1.000000,10.000000,31.800000,16.907986,49.000000,0.000000,50,0,65.343851
59,10000059,1,7.080000,2.431789,1.000000,11.000000,39.020000,19.013143,49.000000,0.000000,50,0,68.779273
61,10000061,1,6.540000,2.555073,1.000000,11.000000,36.620000,19.696589,47.160000,6.313034,3,0,69.881970
62,10000062,1,7.240000,3.776559,0.000000,16.000000,47.400000,36.157987,47.040000,6.720000,0,0,71.843052
60,10000060,1,7.040000,3.059150,2.000000,14.000000,45.140000,35.219319,49.000000,0.000000,50,0,68.179338
64,10000064,1,8.040000,3.934260,1.000000,17.000000,59.860000,46.385778,37.000000,12.059851,0,0,58.851464
63,10000063,1,8.300000,4.300000,1.000000,17.000000,63.960000,51.352492,39.000000,13.079755,0,0,57.194856
65,10000065,1,7.680000,3.838958,0.000000,15.000000,54.680000,38.716116,43.280000,10.766689,0,0,62.197137
67,10000067,1,5.720000,2.218468,1.000000,13.000000,26.160000,15.792859,49.000000,0.000000,50,0,65.400304
66,10000066,1,6.320000,2.092271,2.000000,11.000000,31.960000,17.460767,36.960000,12.491533,0,0,59.145035
68,10000068,1,6.820000,2.725362,2.000000,12.000000,34.620000,22.474777,47.260000,5.901898,5,0,67.783187
69,10000069,1,7.640000,2.551549,2.000000,13.000000,50.220000,25.262850,49.000000,0.000000,50,0,63.329732
72,10000072,1,6.400000,2.645751,2.000000,12.000000,36.100000,23.083544,48.000000,6.858571,48,0,68.856982
71,10000071,1,7.000000,3.187475,2.000000,14.000000,39.840000,27.370320,48.060000,0.881136,12,1,59.482804
74,10000074,1,5.960000,2.217747,2.000000,10.000000,29.360000,18.416036,44.920000,9.017405,32,0,73.741442
