seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
14,10000014,0,6.360000,2.224949,2.000000,11.000000,39.040000,18.828659,22.480000,7.324589,0,0,55.627254
17,10000017,0,6.680000,2.485478,1.000000,11.000000,44.120000,20.881226,30.760000,11.104161,0,0,59.924230
21,10000021,0,5.880000,2.566242,1.000000,10.000000,35.280000,22.717429,36.960000,12.491533,0,0,64.876787
8,10000008,0,5.680000,1.933287,1.000000,10.000000,30.320000,13.807882,49.000000,0.000000,50,0,64.082242
9,10000009,0,6.440000,2.786826,1.000000,11.000000,42.800000,28.094839,45.160000,9.014122,0,0,55.837919
7,10000007,0,6.080000,2.234636,1.000000,10.000000,35.880000,17.390388,49.000000,0.000000,50,0,71.742530
11,10000011,0,5.720000,2.514279,0.000000,11.000000,33.320000,19.630018,45.120000,9.210081,0,0,72.844792
1,10000001,0,5.920000,2.234636,1.000000,10.000000,34.120000,15.437150,49.000000,0.000000,50,1,68.414247
22,10000022,0,7.440000,4.200762,1.000000,16.000000,65.560000,53.994874,29.960000,12.612629,0,0,67.483379
20,10000020,0,6.040000,2.235710,1.000000,11.000000,35.440000,18.880847,49.000000,0.000000,50,1,63.233499
5,10000005,0,6.000000,2.029778,1.000000,10.000000,34.120000,17.733178,49.000000,0.000000,50,0,63.966866
4,10000004,0,6.400000,3.310589,0.000000,14.000000,45.520000,35.162048,47.040000,6.720000,0,0,66.760470
3,10000003,0,6.920000,2.243569,0.000000,11.000000,46.000000,20.459717,47.040000,6.720000,0,0,60.946207
10,10000010,0,6.200000,2.449490,2.000000,12.000000,38.240000,21.620879,49.000000,0.000000,50,0,67.141574
18,10000018,0,6.240000,2.121886,2.000000,11.000000,37.200000,19.930881,49.000000,0.000000,50,0,67.784570
2,10000002,0,6.520000,3.008255,1.000000,13.000000,45.040000,28.545374,49.000000,0.000000,50,0,70.083449
19,10000019,0,6.040000,3.013038,0.000000,12.000000,39.520000,30.391604,47.040000,6.720000,0,0,79.113868
12,10000012,0,6.920000,2.719118,2.000000,12.000000,48.360000,27.645441,49.000000,0.000000,50,0,61.831112
16,10000016,0,6.280000,2.514279,2.000000,11.000000,39.480000,23.928427,49.000000,0.000000,50,0,64.040216
15,10000015,0,7.040000,3.423215,0.000000,14.000000,54.240000,38.187202,47.040000,6.720000,0,0,57.756308
6,10000006,0,6.600000,2.912044,0.000000,12.000000,45.440000,30.182220,47.040000,6.720000,0,0,68.200019
13,10000013,0,6.680000,3.075321,1.000000,12.000000,47.400000,30.714166,49.000000,0.000000,50,0,69.537438
23,10000023,0,5.720000,2.298173,1.000000,10.000000,32.280000,21.980937,38.440000,12.348538,0,0,71.587646
25,10000025,0,5.600000,2.959730,1.000000,13.000000,34.520000,29.652818,36.960000,12.491533,0,1,65.184177
24,10000024,0,5.880000,2.724995,1.000000,11.000000,36.120000,24.000533,45.160000,9.014122,0,0,67.551098
35,10000035,0,4.960000,1.907459,1.000000,9.000000,23.280000,12.987748,38.120000,13.219138,0,1,66.622752
26,10000026,0,5.120000,2.074994,1.000000,10.000000,25.400000,15.983742,49.000000,0.000000,50,0,68.288066
33,10000033,0,5.960000,2.925474,1.000000,12.000000,38.120000,26.214988,38.080000,13.323423,0,0,50.718558
27,10000027,0,6.240000,2.186870,2.000000,10.000000,37.480000,17.353086,49.000000,0.000000,50,0,61.856021
28,10000028,0,6.560000,3.182200,0.000000,12.000000,46.600000,32.903495,38.000000,13.542526,0,0,72.237813
37,10000037,0,5.760000,2.302694,1.000000,10.000000,32.720000,17.267356,38.440000,12.348538,0,0,60.650691
30,10000030,0,5.240000,2.241071,1.000000,10.000000,27.240000,16.461543,49.000000,0.000000,50,0,69.996492
31,10000031,0,6.240000,3.114868,0.000000,15.000000,42.400000,34.042327,47.040000,6.720000,0,0,69.368775
34,10000034,0,5.640000,2.007586,2.000000,9.000000,30.200000,14.883548,49.000000,0.000000,50,0,56.195327
32,10000032,0,6.160000,2.715585,2.000000,13.000000,39.160000,28.995420,49.000000,0.000000,50,0,61.950461
29,10000029,0,7.000000,3.762978,1.000000,15.000000,56.160000,40.478814,45.160000,9.014122,0,0,65.037939
36,10000036,0,5.920000,2.133917,2.000000,10.000000,33.680000,15.968018,49.000000,0.000000,50,0,63.053985
38,10000038,0,5.840000,2.955402,0.000000,11.000000,37.000000,26.507357,47.040000,6.720000,0,0,68.429821
41,10000041,0,6.160000,2.508864,2.000000,11.000000,38.080000,24.831303,30.760000,11.104161,0,0,62.127712
46,10000046,0,5.160000,2.625719,0.000000,10.000000,28.360000,22.297767,36.720000,13.102733,0,0,69.143968
39,10000039,0,6.400000,2.553429,0.000000,11.000000,41.080000,19.304756,47.040000,6.720000,0,0,63.769804
44,10000044,0,5.440000,2.290502,1.000000,10.000000,29.400000,20.311573,49.000000,0.000000,50,0,71.253688
40,10000040,0,6.520000,2.954590,0.000000,14.000000,44.720000,29.310094,47.040000,6.720000,0,0,65.020840
47,10000047,0,7.720000,2.793134,2.000000,12.000000,59.680000,26.936548,28.000000,9.165151,0,0,57.481848
43,10000043,0,5.480000,2.451449,1.000000,9.000000,30.560000,18.825685,45.160000,9.014122,0,0,79.475101
45,10000045,0,6.400000,2.505993,2.000000,12.000000,40.840000,23.471140,49.000000,0.000000,50,0,62.697848
42,10000042,0,7.200000,3.046309,2.000000,14.000000,53.920000,37.793566,49.000000,0.000000,50,0,58.494034
48,10000048,0,6.320000,2.921917,1.000000,13.000000,42.160000,31.481652,49.000000,0.000000,50,1,70.829320
49,10000049,0,5.880000,2.479032,3.000000,12.000000,34.840000,25.973340,49.000000,0.000000,50,1,63.299841
50,10000050,0,6.800000,2.771281,1.000000,13.000000,47.120000,29.758790,49.000000,0.000000,50,0,70.180157
51,10000051,0,5.520000,2.128286,1.000000,11.000000,29.480000,17.188647,49.000000,0.000000,50,0,69.105311
52,10000052,0,7.280000,4.427369,1.000000,16.000000,65.320000,61.983366,41.480000,11.936901,0,0,63.930582
54,10000054,0,5.560000,2.228542,1.000000,10.000000,30.320000,17.240000,49.000000,0.000000,50,1,76.532198
53,10000053,0,6.680000,3.240000,1.000000,13.000000,48.440000,37.942145,49.000000,0.000000,50,0,82.876997
