seed,run_id,source,hop_category
2,2,main,3
5,5,main,3
7,1,main,3
8,1000008,rerun,2
10,4,main,3
12,9,main,3
13,15,main,3
16,8,main,3
18,1000018,rerun,2
20,1000020,rerun,1
26,3,main,3
27,6,main,3
30,1000030,rerun,2
32,11,main,3
34,1000034,rerun,2
36,14,main,3
42,18,main,3
44,7,main,3
45,13,main,3
48,1000048,rerun,1
49,1000049,rerun,1
50,19,main,3
51,16,main,3
53,1000053,rerun,2
54,1000054,rerun,1
55,17,main,3
56,12,main,3
58,10,main,3
59,20,main,3
60,21,main,3
61,1000061,rerun,2
66,1000066,rerun,2
68,1000068,rerun,2
69,24,main,3
70,1000070,rerun,2
75,23,main,3
81,1000081,rerun,1
83,27,main,3
84,25,main,3
88,22,main,3
90,30,main,3
91,28,main,3
96,26,main,3
99,29,main,3
102,35,main,3
103,31,main,3
106,1000106,rerun,1
107,38,main,3
108,33,main,3
110,1000110,rerun,2
111,32,main,3
114,34,main,3
115,39,main,3
116,36,main,3
118,41,main,3
120,37,main,3
121,40,main,3
127,1000127,rerun,2
129,43,main,3
131,1000131,rerun,1
132,42,main,3
134,1000134,rerun,2
136,1000136,rerun,2
142,49,main,3
143,50,main,3
144,44,main,3
145,1000145,rerun,1
148,1000148,rerun,2
160,1000160,rerun,1
162,46,main,3
166,1000166,rerun,2
167,47,main,3
168,55,main,3
169,1000169,rerun,1
170,48,main,3
171,51,main,3
173,45,main,3
176,1000176,rerun,1
181,53,main,3
187,52,main,3
188,54,main,3
189,59,main,3
198,56,main,3
200,58,main,3
201,64,main,3
203,1000203,rerun,1
205,60,main,3
207,62,main,3
209,61,main,3
211,57,main,3
212,65,main,3
216,63,main,3
219,66,main,3
220,1000220,rerun,2
221,71,main,3
222,68,main,3
224,69,main,3
225,67,main,3
227,70,main,3
229,1000229,rerun,1
231,76,main,3
233,72,main,3
234,73,main,3
237,81,main,3
240,75,main,3
241,84,main,3
246,78,main,3
248,82,main,3
251,80,main,3
252,77,main,3
253,74,main,3
254,79,main,3
256,1000256,rerun,2
258,83,main,3
260,1000260,rerun,1
262,85,main,3
266,86,main,3
267,87,main,3
271,88,main,3
272,1000272,rerun,2
273,92,main,3
274,1000274,rerun,2
276,91,main,3
278,89,main,3
279,1000279,rerun,1
285,1000285,rerun,1
286,90,main,3
290,97,main,3
291,93,main,3
292,1000292,rerun,2
294,94,main,3
296,95,main,3
297,1000297,rerun,1
298,1000298,rerun,1
300,1000300,rerun,1
301,1000301,rerun,2
304,98,main,3
307,96,main,3
308,99,main,3
309,100,main,3
310,101,main,3
315,1000315,rerun,1
316,102,main,3
323,1000323,rerun,2
325,1000325,rerun,1
326,103,main,3
327,1000327,rerun,2
329,1000329,rerun,1
330,104,main,3
332,1000332,rerun,1
