seed,run_id,source,hop_category
1,1000001,rerun,1
2,1000002,rerun,2
4,3,main,3
5,2,main,3
12,1000012,rerun,2
18,1000018,rerun,2
24,1,main,3
27,8,main,3
34,1000034,rerun,2
36,1000036,rerun,2
38,5,main,3
39,9,main,3
44,6,main,3
45,12,main,3
47,4,main,3
50,15,main,3
53,1000053,rerun,2
55,11,main,3
56,1000056,rerun,2
58,7,main,3
59,13,main,3
60,14,main,3
67,10,main,3
69,16,main,3
70,1000070,rerun,2
80,17,main,3
81,1000081,rerun,1
83,21,main,3
88,19,main,3
90,18,main,3
93,22,main,3
94,26,main,3
96,20,main,3
99,23,main,3
108,25,main,3
110,1000110,rerun,2
111,24,main,3
116,28,main,3
118,30,main,3
120,29,main,3
127,1000127,rerun,2
129,27,main,3
131,1000131,rerun,1
132,1000132,rerun,2
134,1000134,rerun,2
136,1000136,rerun,2
142,36,main,3
143,32,main,3
144,33,main,3
145,1000145,rerun,1
148,1000148,rerun,1
166,31,main,3
170,34,main,3
171,35,main,3
185,1000185,rerun,1
188,37,main,3
189,39,main,3
201,41,main,3
203,1000203,rerun,1
205,38,main,3
207,45,main,3
209,44,main,3
211,42,main,3
212,49,main,3
215,43,main,3
217,47,main,3
220,1000220,rerun,2
221,46,main,3
222,50,main,3
223,48,main,3
225,40,main,3
229,1000229,rerun,1
230,51,main,3
231,53,main,3
234,52,main,3
237,55,main,3
240,1000240,rerun,2
248,54,main,3
250,1000250,rerun,2
254,57,main,3
255,59,main,3
258,56,main,3
260,1000260,rerun,1
264,64,main,3
266,58,main,3
267,61,main,3
271,63,main,3
273,62,main,3
274,1000274,rerun,1
276,65,main,3
278,60,main,3
279,1000279,rerun,1
282,1000282,rerun,1
285,1000285,rerun,1
286,66,main,3
290,1000290,rerun,2
297,1000297,rerun,1
301,1000301,rerun,2
307,68,main,3
308,67,main,3
309,70,main,3
315,1000315,rerun,1
316,69,main,3
317,73,main,3
323,1000323,rerun,2
325,1000325,rerun,1
327,1000327,rerun,2
330,1000330,rerun,2
332,1000332,rerun,1
333,72,main,3
336,74,main,3
343,78,main,3
344,76,main,3
345,71,main,3
347,75,main,3
355,77,main,3
359,1000359,rerun,1
362,81,main,3
363,79,main,3
365,1000365,rerun,2
366,83,main,3
367,1000367,rerun,1
368,1000368,rerun,2
370,84,main,3
373,82,main,3
376,80,main,3
377,1000377,rerun,1
378,85,main,3
379,86,main,3
383,1000383,rerun,2
386,1000386,rerun,1
387,87,main,3
391,1000391,rerun,2
392,88,main,3
398,1000398,rerun,1
402,1000402,rerun,1
408,91,main,3
409,1000409,rerun,2
412,95,main,3
415,90,main,3
416,93,main,3
417,89,main,3
421,94,main,3
423,97,main,3
424,96,main,3
426,92,main,3
428,102,main,3
430,103,main,3
431,98,main,3
433,101,main,3
438,107,main,3
439,100,main,3
441,99,main,3
447,104,main,3
451,1000451,rerun,1
455,105,main,3
459,112,main,3
463,110,main,3
466,111,main,3
467,109,main,3
469,108,main,3
471,1000471,rerun,1
472,1000472,rerun,1
474,106,main,3
476,117,main,3
479,113,main,3
481,1000481,rerun,1
484,118,main,3
486,1000486,rerun,1
488,115,main,3
492,114,main,3
493,116,main,3
499,120,main,3
501,1000501,rerun,1
505,1000505,rerun,1
506,1000506,rerun,2
510,129,main,3
511,119,main,3
512,121,main,3
516,1000516,rerun,2
525,1000525,rerun,1
528,122,main,3
529,124,main,3
530,1000530,rerun,2
531,1000531,rerun,2
534,1000534,rerun,1
536,126,main,3
540,123,main,3
545,125,main,3
549,132,main,3
552,127,main,3
555,130,main,3
557,1000557,rerun,1
559,136,main,3
561,128,main,3
562,1000562,rerun,1
572,1000572,rerun,1
573,139,main,3
